"term","pval","combined","adjp","genes","n"
"vinblastine CTD 00006986",0.490569581785802,1.07116184008753,0.529139098374968,"NUDT4",1
"dirithromycin HL60 DOWN",0.491118389881822,0.873108826374047,0.529263507542546,"MT1X;CD14",2
"Retinoic acid BOSS",0.498125465186558,1.02522495563112,0.536341440028913,"RXRG",1
"Irinotecan hydrochloride CTD 00002224",0.499666093554021,0.837914135806199,0.537526255708775,"CDKN1A;SAT1",2
"vorinostat HL60 DOWN",0.503436519434937,0.822818202051097,0.541105625202516,"CYBRD1;CD14",2
"midecamycin HL60 DOWN",0.507047203853387,0.973519188244588,0.544507155589257,"SAT1",1
"Uranium acetate CTD 00000229",0.514362735924057,0.933059149223208,0.551877768509028,"NAMPT",1
"emetine MCF7 DOWN",0.515812982897363,0.925237191867055,0.552947894747743,"HSPA2",1
"sulfaguanidine PC3 DOWN",0.516492638027642,0.77247580190173,0.553190799150658,"BCL6;NUDT4",2
"quinpirole HL60 DOWN",0.517258972146992,0.917502205558217,0.553526034173074,"EIF4EBP1",1
"URANIUM CTD 00006964",0.518700716070643,0.909852932041343,0.554582814642956,"NAMPT",1
"cicloheximide PC3 DOWN",0.520138226850949,0.902288136340262,0.555147530581301,"HSPA2",1
"harmine MCF7 DOWN",0.520138226850949,0.902288136340262,0.555147530581301,"NAMPT",1
"trichostatin A MCF7 DOWN",0.521102034157535,0.755390168140444,0.555690466119083,"CCND1;PCNT",2
"0175029-0000 PC3 DOWN",0.527905515669613,0.653644732186068,0.562454305962126,"SOCS2;CEBPB;CDKN1A;NNMT;BCL6;NAMPT;MT1X;HSPA2;PCNT;NUDT4",10
"cantharidin HL60 DOWN",0.530083296414389,0.851600752677724,0.564282218763704,"CD14",1
"minoxidil PC3 DOWN",0.531487378986365,0.844669889776113,0.565284050298216,"NUDT4",1
"alsterpaullone MCF7 UP",0.532887337194623,0.837813335458602,0.566279755191153,"CDKN1A",1
"zuclopenthixol PC3 DOWN",0.538446163223674,0.811109819462287,0.571689361127048,"NUDT4",1
"GW-8510 PC3 DOWN",0.547020034012876,0.625005679839906,0.580287977002365,"CEBPB;BCL6;HSPA2;NUDT4",4
"ambroxol PC3 DOWN",0.551683300433973,0.650354622681062,0.58472683144955,"IFITM3;MT1X",2
"puromycin HL60 UP",0.557394718683984,0.726006370703171,0.59026795447801,"NUDT4",1
"H-7 MCF7 DOWN",0.559260945220768,0.592373614946227,0.591731034761315,"SOCS2;CEBPB;BCL6;NUDT4",4
"glibenclamide HL60 DOWN",0.559868606445537,0.590790029669647,0.591861098242425,"TIMP1;CD14;SAT1;NUDT4",4
"digoxigenin MCF7 DOWN",0.569169890683757,0.677387302095837,0.60117338799729,"SOCS2",1
"doxorubicin MCF7 DOWN",0.575511145395832,0.558851065305546,0.607345815495515,"SOCS2;CEBPB;NUDT4",3
"chlortetracycline HL60 UP",0.576848345181775,0.647306428165977,0.608231286240887,"NNMT",1
"chlorhexidine PC3 UP",0.581892409434101,0.628208453486412,0.612491924068136,"MT1M",1
"dihydroergotamine HL60 DOWN",0.581892409434101,0.628208453486412,0.612491924068136,"EIF4EBP1",1
"MS-275 PC3 DOWN",0.58314416132341,0.623548077290153,0.613280810487411,"PCNT",1
"doxorubicin PC3 DOWN",0.587082008402576,0.529262068984,0.616890819500469,"CEBPB;BCL6;NUDT4",3
"levonorgestrel HL60 DOWN",0.590577675576366,0.596502135145319,0.620030388545781,"PCNT",1
"helveticoside HL60 UP",0.591803860493164,0.592142303963,0.620251084688544,"SAT1",1
"zuclopenthixol PC3 UP",0.591803860493164,0.592142303963,0.620251084688544,"LYVE1",1
"scriptaid MCF7 DOWN",0.592539287418639,0.529798046376681,0.620489253806311,"CCND1;PCNT",2
"proscillaridin HL60 UP",0.617884771238611,0.505763126986408,0.646475840344768,"SAT1",1
"pregnenolone PC3 DOWN",0.620172873580282,0.498731337466774,0.648314279658839,"NUDT4",1
"dexverapamil MCF7 DOWN",0.62131186853127,0.49526197842446,0.648949351134885,"NUDT4",1
"sulfamonomethoxine HL60 UP",0.623579794572396,0.488414602652351,0.650761477925552,"HLA-DPA1",1
"clindamycin HL60 UP",0.628075663291785,0.475075832279071,0.654893582305098,"NNMT",1
"amikacin PC3 DOWN",0.631412882409908,0.46537303581339,0.657811543875851,"IFITM3",1
"puromycin PC3 DOWN",0.633684337435435,0.427324736851197,0.659615154312588,"IFITM3;TIMP1",2
"lobeline HL60 UP",0.636909615058474,0.449750877140358,0.662407700158771,"HLA-DPA1",1
"atovaquone MCF7 DOWN",0.651875351078564,0.409384717415201,0.676244523081501,"NAMPT",1
"metronidazole PC3 DOWN",0.650849310547299,0.38936988894944,0.676244523081501,"NAMPT;SAT1",2
"camptothecin PC3 DOWN",0.651697936405755,0.385612717162511,0.676244523081501,"SOCS2;NNMT;NAMPT;NUDT4",4
"lobeline HL60 DOWN",0.66012650004829,0.369744979918223,0.684222798437149,"BCL6;NAMPT;CD14;NUDT4",4
"glibenclamide HL60 UP",0.664219213430629,0.378336524103742,0.68788096658083,"HLA-DPA1",1
"scopolamine PC3 DOWN",0.666234261245849,0.373450812776879,0.689383078797611,"NUDT4",1
"minoxidil PC3 UP",0.669234563134007,0.366268312721264,0.691901271453533,"LYVE1",1
"bisacodyl MCF7 DOWN",0.671220018187005,0.361575095883492,0.693366871578962,"SOCS2",1
"hydralazine CTD 00006108",0.672991926405448,0.344102300005545,0.694609587608666,"NAMPT;RXRG",2
"digitoxigenin MCF7 DOWN",0.675155844700426,0.352410196728206,0.696254464847314,"SOCS2",1
"LEAD CTD 00006203",0.683301517805205,0.324347789065024,0.704060044928401,"CEBPB;ADH1B",2
"apigenin HL60 DOWN",0.6932274478035,0.312597041788464,0.713685256128224,"NUDT4",1
"danazol HL60 UP",0.695071226986653,0.308735915963812,0.71498059658863,"NNMT",1
"MG-262 MCF7 DOWN",0.703234319070915,0.29206694020543,0.722768605711773,"MT1X",1
"pyrithyldione HL60 UP",0.709434513292334,0.27985765316966,0.728527788671101,"LYVE1",1
"danazol HL60 DOWN",0.713278224511495,0.275354627485048,0.731859421956753,"CD14;SAT1;NUDT4",3
"proscillaridin MCF7 DOWN",0.717219370059691,0.265059606418223,0.735285349154393,"SOCS2",1
