"term","pval","combined","adjp","genes","n"
"Bandrowski's base CTD 00002216",0.00620953355419871,93.3891671438276,0.0338475020967706,"MGST1;MT1X",2
"azacyclonol MCF7 UP",0.00613868148249845,43.9616522639204,0.0338475020967706,"CEBPB;MT1X;SAT1",3
"N-NITROSODIMETHYLAMINE CTD 00005845",0.00613868148249845,43.9616522639204,0.0338475020967706,"CDKN1A;MT1X;TIMP1",3
"rapamycin CTD 00007350",0.00607296626887204,30.0895718895785,0.0338475020967706,"CDKN1A;CCND1;EIF4EBP1;MYH11",4
"NICKEL CHLORIDE CTD 00001064",0.0063833533912562,23.2167099646001,0.0346403310698837,"CEBPB;CDKN1A;CCND1;MT1X;ANGPTL4",5
"FLUORANTHENE CTD 00000365",0.00651566386957985,90.1283274621409,0.0351482902628907,"CDKN1A;SAT1",2
"resveratrol CTD 00002483",0.00653453062217541,13.3057258968721,0.0351482902628907,"SOCS2;SFRP1;CDKN1A;BCL6;CCND1;MTFP1;ADH1B;EIF4EBP1;CD14;SAT1;FKBP5",11
"Methaneseleninic acid CTD 00000412",0.00658409379675022,22.8965944685058,0.0352595549378597,"CDKN1A;CCND1;CD14;SAT1;FKBP5",5
"Oxazolone CTD 00006449",0.00669132074015088,41.8479704024289,0.0356773040337303,"NAMPT;F13A1;SAT1",3
"orciprenaline HL60 UP",0.00682855137567588,87.0519095380931,0.0359381949556045,"TIMP1;SAT1",2
"ACRYLAMIDE CTD 00007343",0.00682855137567588,87.0519095380931,0.0359381949556045,"CDKN1A;CCND1",2
"Acteoside CTD 00002463",0.00682855137567588,87.0519095380931,0.0359381949556045,"CDKN1A;CCND1",2
"co-dergocrine mesilate HL60 UP",0.00697840200734498,40.8493765375291,0.0365692225363443,"MT1X;TIMP1;SAT1",3
"benzethonium chloride MCF7 UP",0.00714815493615837,84.1454257840257,0.0371399879874441,"BCL6;MT1X",2
"Andrographolide CTD 00001445",0.00714815493615837,84.1454257840257,0.0371399879874441,"CDKN1A;CCND1",2
"dibutyl phthalate CTD 00005795",0.00747443359044931,81.3958360634977,0.0380260247750546,"CCND1;RXRG",2
"hexetidine MCF7 UP",0.00747443359044931,81.3958360634977,0.0380260247750546,"MT1X;SAT1",2
"mycophenolic acid MCF7 UP",0.00747443359044931,81.3958360634977,0.0380260247750546,"CDKN1A;HSPA2",2
"ascorbic acid CTD 00005445",0.00735439264846155,27.363795834152,0.0380260247750546,"CDKN1A;CCND1;CYBRD1;TIMP1",4
"trichostatin A PC3 UP",0.00750554624962175,21.5781074127836,0.0380260247750546,"CDKN1A;BCL6;HSPA2;ANGPTL4;SAT1",5
"4-Hydroxytamoxifen CTD 00000850",0.0074600123334262,18.510217743538,0.0380260247750546,"SOCS2;CDKN1A;CCND1;MT1X;HSPA2;PPM1K",6
"parathion CTD 00006472",0.00761590805603062,16.3694649523984,0.0384257179190636,"ADAMTS5;CDKN1A;NPR3;MGST1;MT1X;HSPA2;CXCL14",7
"5707885 PC3 UP",0.0078073465528601,78.7913733690116,0.0385942110973368,"CEBPB;MT1X",2
"LY-294002 PC3 UP",0.0078073465528601,78.7913733690116,0.0385942110973368,"BCL6;MT1X",2
"berberine CTD 00005500",0.0078073465528601,78.7913733690116,0.0385942110973368,"CDKN1A;CCND1",2
"metoprolol HL60 UP",0.0078073465528601,78.7913733690116,0.0385942110973368,"C3;CD14",2
"pyrvinium HL60 UP",0.00772785401984002,38.5074375378004,0.0385942110973368,"CEBPB;MT1X;SAT1",3
"4-tert-Octylphenol CTD 00003436",0.00814685321653511,76.321393915237,0.0401101120056023,"CDKN1A;CCND1",2
"daunorubicin PC3 UP",0.00836041942475784,36.778896373398,0.0408322884705173,"CDKN1A;HSPA2;SAT1",3
"suloctidil HL60 UP",0.00836041942475784,36.778896373398,0.0408322884705173,"MT1M;MT1X;SAT1",3
"T-2 TOXIN CTD 00006824",0.00849291314505755,73.9762478002404,0.0409875373522343,"ADAMTS5;TIMP1",2
"indometacin PC3 UP",0.00849291314505755,73.9762478002404,0.0409875373522343,"NAMPT;ANGPTL4",2
"diclofenac CTD 00005804",0.00843305544497312,20.4526199617118,0.0409875373522343,"CEBPB;CDKN1A;CCND1;EIF4EBP1;SAT1",5
"carmustine CTD 00005595",0.00859504731950791,20.2729646667122,0.041317136917792,"CEBPB;CDKN1A;CCND1;MT1X;SAT1",5
"diuron CTD 00005864",0.00868781278779322,35.9587730774112,0.0415992918191981,"C3;NNMT;TIMP1",3
"Zebularine CTD 00000459",0.00884548607841087,71.747166982914,0.0420665552035599,"CDKN1A;CCND1",2
"Cadmium sulfate CTD 00001745",0.00885430359321449,35.5591424002689,0.0420665552035599,"CDKN1A;RXRG;SAT1",3
"prenylamine MCF7 UP",0.00902266318101692,35.1662488238858,0.0427002780776033,"CEBPB;MT1X;SAT1",3
"lactacystin CTD 00002698",0.00920453193137754,69.6261679822206,0.0428959293443205,"CEBPB;CCND1",2
"clioquinol PC3 UP",0.00920453193137754,69.6261679822206,0.0428959293443205,"MT1M;MT1X",2
"tonzonium bromide PC3 UP",0.00919289596858125,34.7799357797601,0.0428959293443205,"CEBPB;CDKN1A;SAT1",3
"wortmannin CTD 00000504",0.00919289596858125,34.7799357797601,0.0428959293443205,"CDKN1A;CCND1;EIF4EBP1",3
"perphenazine PC3 UP",0.00957001078795581,67.6059670933825,0.0442169730625222,"CDKN1A;SAT1",2
"methoxychlor CTD 00006302",0.00957001078795581,67.6059670933825,0.0442169730625222,"CDKN1A;CCND1",2
"COPPER CTD 00005706",0.00959664034526485,11.5964611224537,0.0442169730625222,"CEBPB;CDKN1A;NNMT;CCND1;NPR3;MT1M;MT1X;ANGPTL4;GPCPD1;SAT1;FKBP5",11
"ibuprofen CTD 00006137",0.00971487639662285,33.658983065707,0.0445934739860019,"C3;CCND1;SAT1",3
"VERAPAMIL CTD 00006985",0.00994188290783623,65.6799062673964,0.0451265391467213,"TIMP1;ABCA8",2
"MK 886 CTD 00002517",0.00994188290783623,65.6799062673964,0.0451265391467213,"CCND1;ALOX5AP",2
"parthenolide CTD 00000087",0.00994188290783623,65.6799062673964,0.0451265391467213,"CCND1;CD14",2
"Zinc sulfate CTD 00007264",0.010184614304586,23.1722017377105,0.0460570891329611,"SOCS2;CDKN1A;CCND1;MT1X",4
"vincristine CTD 00006988",0.0102712622319779,12.4717095463272,0.0462775320488745,"CEBPB;CDKN1A;ERAP2;NAMPT;MYH11;MT1X;TIMP1;ABCA8;SAT1",9
"isoetarine HL60 UP",0.0103201087179194,63.841888167546,0.0463266645021309,"TIMP1;SAT1",2
"mometasone HL60 UP",0.010704648823228,62.0863190645338,0.0478768359456463,"MT1X;FKBP5",2
"thioridazine MCF7 UP",0.0108099712782409,31.5755881140945,0.0481714413530372,"BCL6;MT1X;SAT1",3
"CHEBI:18224 CTD 00001728",0.0110954639906318,60.4080585527805,0.0490853678715995,"MGST1;MT1X",2
"Indole-3-carbinol CTD 00000845",0.0110954639906318,60.4080585527805,0.0490853678715995,"CDKN1A;CCND1",2
"INDIRUBIN-3'-MONOXIME CTD 00004181",0.0114925151614889,58.802375092913,0.0506583430042524,"CDKN1A;HSPA2",2
"Pyrrolidine dithiocarbamate CTD 00001021",0.0115782375115162,30.2932539030871,0.0508526187106521,"CEBPB;MT1X;CD14",3
"liothyronine CTD 00006943",0.0121746500248256,29.3823975932776,0.0532804576355273,"CDKN1A;CCND1;ADH1B",3
"acacetin HL60 UP",0.0123051701203719,55.7916258506103,0.0536593311320503,"MT1M;MT1X",2
"ARSENIC CTD 00005442",0.0124242838698185,13.3327809585843,0.0539859452136955,"CEBPB;CDKN1A;CCND1;MGST1;MT1X;CD14;HLA-DPA1",7
"3-Butylidenephthalide CTD 00001227",0.0127206966303196,54.3788087410781,0.0543075894602105,"CDKN1A;CCND1",2
"GW9662 CTD 00004071",0.0127206966303196,54.3788087410781,0.0543075894602105,"CDKN1A;CCND1",2
"gossypol PC3 UP",0.0127206966303196,54.3788087410781,0.0543075894602105,"CDKN1A;CEBPB",2
"Alvocidib CTD 00002892",0.0127206966303196,54.3788087410781,0.0543075894602105,"CDKN1A;CCND1",2
"podophyllotoxin HL60 UP",0.0126476401853069,20.6689993512071,0.0543075894602105,"CDKN1A;NAMPT;TIMP1;SAT1",4
"Pterostilbene CTD 00003490",0.0131423045896362,53.0230072561416,0.0559120345085219,"CDKN1A;CCND1",2
"scriptaid PC3 UP",0.0132818894911952,14.3365257603842,0.0563096773220463,"CEBPB;CDKN1A;BCL6;HSPA2;ANGPTL4;SAT1",6
"pergolide HL60 UP",0.0134980705399606,19.9584791039094,0.0570281803781725,"CDKN1A;BCL6;TIMP1;SAT1",4
"fluticasone HL60 UP",0.0140036121333083,50.4698920878045,0.0588283805174257,"MT1X;FKBP5",2
"5109870 MCF7 UP",0.0140687036126849,26.8839820889959,0.0588283805174257,"CDKN1A;MT1X;ANGPTL4",3
"trichostatin A MCF7 UP",0.014051318212832,12.6310772298543,0.0588283805174257,"CDKN1A;BCL6;MT1X;HSPA2;ANGPTL4;SAT1;NUDT4",7
"hydroquinone CTD 00001535",0.0142889171949777,26.6262094679198,0.0595452829183201,"CDKN1A;MGST1;HSPA2",3
"Bortezomib CTD 00003736",0.0143778802818775,12.5027194516764,0.0597122170890217,"CEBPB;CDKN1A;BCL6;CCND1;EIF4EBP1;ANGPTL4;FKBP5",7
"Chromium(III) oxide CTD 00001091",0.0144432357741012,49.2668513272116,0.0597803080683986,"CDKN1A;MT1X",2
"COBALT CTD 00005696",0.0145110922676892,26.3721170031789,0.059858255604218,"CDKN1A;TIMP1;ANGPTL4",3
"etynodiol HL60 UP",0.014888788971931,48.1093343299055,0.0610040648816368,"MT1X;FKBP5",2
"valsartan CTD 00002971",0.014888788971931,48.1093343299055,0.0610040648816368,"MRC1;TIMP1",2
"Belinostat CTD 00004313",0.0153402341638937,46.9949484676608,0.0618165871752944,"CDKN1A;SAT1",2
"FCCP CTD 00005590",0.0153402341638937,46.9949484676608,0.0618165871752944,"CCND1;HSPA2",2
"QUINOLINE CTD 00001749",0.0153402341638937,46.9949484676608,0.0618165871752944,"CDKN1A;NAMPT",2
"8-azaguanine PC3 UP",0.0151504133482329,18.7428514773372,0.0618165871752944,"CEBPB;CDKN1A;ANGPTL4;SAT1",4
"cycloheximide CTD 00005731",0.0153066883553506,18.6375660426864,0.0618165871752944,"CDKN1A;CCND1;ALOX5AP;SAT1",4
"niclosamide HL60 UP",0.0156514644608087,25.1543979082857,0.0628632832455509,"BCL6;NAMPT;SAT1",3
"3-(1-methylpyrrolidin-2-yl)pyridine CTD 00006393",0.015717882864136,15.1376778398492,0.0629230654987214,"CEBPB;CDKN1A;CCND1;EIF4EBP1;TIMP1",5
"15-delta prostaglandin J2 PC3 UP",0.015797533956199,45.9214617781147,0.0630352580409118,"CDKN1A;ANGPTL4",2
"IRON CTD 00006166",0.0161214152283294,24.6906839755316,0.0641180716410106,"CYBRD1;F13A1;CD14",3
"h-89 CTD 00002586",0.0162606511061238,44.8867898944504,0.064461866884991,"CDKN1A;CCND1",2
"(-)-isoprenaline HL60 UP",0.0165992742956983,24.2395773286809,0.0655913071684391,"TIMP1;SAT1;HLA-DPA1",3
"Chromium(II) chloride CTD 00000877",0.0167295485483831,43.8889841906612,0.0658928347663735,"CDKN1A;MT1X",2
"Velcade(Bortezomib) BOSS",0.0168411734976201,24.0186050050228,0.0661192052752222,"BCL6;CCND1;EIF4EBP1",3
"Mehp CTD 00000849",0.0172041893668329,42.9262210765582,0.0673279333875096,"CDKN1A;RXRG",2
"disulfiram MCF7 UP",0.0176845368120344,41.9967922534141,0.0685486331666477,"SOCS2;MT1X",2
"triclosan CTD 00006933",0.0176845368120344,41.9967922534141,0.0685486331666477,"CDKN1A;CCND1",2
"Benz[a]anthracene CTD 00001470",0.0176845368120344,41.9967922534141,0.0685486331666477,"CDKN1A;TIMP1",2
"17-Hydroxyandrostan-3-one CTD 00006776",0.017828602365738,23.1639583423032,0.0688883654701461,"CDKN1A;CCND1;FKBP5",3
"ritonavir CTD 00007290",0.0181705542950488,41.099095873323,0.0697680716800457,"CDKN1A;CCND1",2
"Fludarabine CTD 00001135",0.0181705542950488,41.099095873323,0.0697680716800457,"CDKN1A;CCND1",2
"Disodium selenite CTD 00007229",0.0182869819303012,9.8330909644953,0.0699949998021875,"CDKN1A;CCND1;MTFP1;NAMPT;MGST1;HSPA2;ABCA8;CD14;PCNT",9
"fluoxetine CTD 00005988",0.018662205384361,40.2316284909056,0.0707656918456671,"CDKN1A;CCND1",2
"chlorprothixene PC3 UP",0.018662205384361,40.2316284909056,0.0707656918456671,"CDKN1A;MT1X",2
"actinomycin D CTD 00005748",0.0185900342163573,22.5522108984382,0.0707656918456671,"CEBPB;CDKN1A;SAT1",3
"phenoxybenzamine MCF7 UP",0.0188478243803393,22.3535990912278,0.0712482773015304,"CDKN1A;MT1X;SAT1",3
"oxygen CTD 00006454",0.0190067993402046,13.731638489478,0.0716274752913265,"CDKN1A;CCND1;MT1M;MT1X;ANGPTL4",5
"curcumin CTD 00000663",0.0195721645208539,13.5230428966818,0.0735311165537313,"CDKN1A;CCND1;EIF4EBP1;TIMP1;CD14",5
"rosiglitazone PC3 UP",0.0196622634581574,38.5818155621958,0.0736430174307062,"CDKN1A;ANGPTL4",2
"apigenin HL60 UP",0.0201666646105254,21.3982459937081,0.0748434574147461,"NPR3;MT1M;MT1X",3
"MANGANESE CHLORIDE CTD 00001187",0.0201666646105254,21.3982459937081,0.0748434574147461,"NAMPT;ANGPTL4;CXCL14",3
"5-azacytidine CTD 00005455",0.0201035208936064,15.9973070140195,0.0748434574147461,"CDKN1A;CCND1;FBLN1;TIMP1",4
"67526-95-8 CTD 00007263",0.0215604020060792,10.3710561596527,0.079773487422493,"MFAP4;CEBPB;CCND1;PITPNM1;MTFP1;LUM;SAT1",7
"Dibenz[a,h]anthracene CTD 00001246",0.0222584771196936,34.8970302902298,0.0821075545714379,"TIMP1;SAT1",2
"clonidine HL60 UP",0.0227939045454164,34.2269267789997,0.0833274175148308,"TIMP1;SAT1",2
"ANTIMONY CTD 00005424",0.0227939045454164,34.2269267789997,0.0833274175148308,"CDKN1A;MT1X",2
"piroxicam CTD 00006571",0.0227229823232858,12.4941429053125,0.0833274175148308,"CEBPB;CDKN1A;CCND1;MT1X;SAT1",5
"(17S)-17-hydroxy-13,17-dimethyl-1,2,6,7,8,14,15,16-octahydrocyclopenta[a]phenanthren-3-one CTD 00007088",0.0230161868062751,14.7937998392467,0.0838888480312295,"SOCS2;NNMT;MAGED2;FKBP5",4
"dinoprost HL60 UP",0.0233346447935083,33.5769238084601,0.084544810958082,"TIMP1;SAT1",2
"wortmannin MCF7 UP",0.0233346447935083,33.5769238084601,0.084544810958082,"BCL6;SAT1",2
"2,2',4,4',5,5'-Hexachlorobiphenyl CTD 00000731",0.0235355136815467,19.3366972840479,0.0850203023821555,"CCND1;MT1M;MT1X",3
"ellipticine PC3 UP",0.0238806630019491,32.9461860268845,0.0857596750746467,"BCL6;SAT1",2
"nicotinamide BOSS",0.0238806630019491,32.9461860268845,0.0857596750746467,"NNMT;NAMPT",2
"dihydroergocristine HL60 UP",0.0244319244556032,32.333922486059,0.0872262566090397,"TIMP1;SAT1",2
"gabexate PC3 UP",0.0244319244556032,32.333922486059,0.0872262566090397,"MYH11;CXCL14",2
"Alitretinoin CTD 00003402",0.0247224158313745,18.7139319278276,0.087750202703803,"SOCS2;CDKN1A;RXRG",3
"aspirin CTD 00005447",0.0246640588273957,11.9523019950671,0.087750202703803,"CEBPB;CDKN1A;CCND1;TIMP1;SAT1",5
"metformin CTD 00006282",0.0249883945982887,31.7393837688393,0.0880532330281566,"NAMPT;EIF4EBP1",2
"MANGANESE CTD 00006240",0.0250241374781084,18.5628161827783,0.0880532330281566,"NAMPT;ANGPTL4;CXCL14",3
"PARAQUAT CTD 00006471",0.0250241374781084,18.5628161827783,0.0880532330281566,"CEBPB;CDKN1A;HSPA2",3
"Dibenzo[def,p]chrysene CTD 00001899",0.025550039020776,31.1618593430397,0.0893885319322852,"CDKN1A;SAT1",2
"fenoterol HL60 UP",0.025550039020776,31.1618593430397,0.0893885319322852,"TIMP1;SAT1",2
"Spectrum 001666 CTD 00000796",0.0266887138390082,30.0551911184939,0.092840226773302,"CDKN1A;CCND1",2
"nifedipine CTD 00006395",0.0266887138390082,30.0551911184939,0.092840226773302,"NAMPT;MYH11",2
"ANTIMONY POTASSIUM TARTRATE CTD 00005425",0.0272656761704526,29.5247994970601,0.0941030045992517,"CDKN1A;MT1X",2
"apigenin MCF7 DOWN",0.0272656761704526,29.5247994970601,0.0941030045992517,"NAMPT;HSPA2",2
"meclofenoxate HL60 UP",0.0272829349943776,13.375365201533,0.0941030045992517,"SFRP1;ATP1B4;LYVE1;HLA-DPA1",4
"parthenolide MCF7 UP",0.0281511636683182,17.1446238469088,0.0968241432084972,"CEBPB;CDKN1A;SAT1",3
"CUPRIC OXIDE CTD 00001471",0.0286496355737478,12.9863463044279,0.0982618118976012,"SFRP1;MT1X;ANGPTL4;SAT1",4
"(+)-chelidonine HL60 UP",0.029026657678618,28.0185408071856,0.0992760476907356,"SAT1;FKBP5",2
"ampicillin CTD 00005394",0.0296235713257317,27.5430154754758,0.100753149272196,"TIMP1;AMOT",2
"Bexarotene CTD 00003225",0.0296235713257317,27.5430154754758,0.100753149272196,"CDKN1A;RXRG",2
"celastrol MCF7 UP",0.030123035696736,16.3679913090544,0.10216729607143,"SOCS2;CEBPB;CDKN1A",3
"tamoxifen CTD 00006827",0.0303522686513347,9.51591274204707,0.102659612252852,"CEBPB;CDKN1A;NNMT;BCL6;CCND1;F13A1",6
"zardaverine HL60 UP",0.0308320788519185,26.6289231753959,0.103139639118336,"TIMP1;SAT1",2
"levonorgestrel HL60 UP",0.0307962263360926,16.1203943013167,0.103139639118336,"MT1X;LYVE1;HLA-DPA1",3
"ethanol CTD 00005337",0.0307962263360926,16.1203943013167,0.103139639118336,"CCND1;ADH1B;ADH1A",3
"Dronabinol CTD 00006853",0.030775470895891,12.4312310766345,0.103139639118336,"CDKN1A;NAMPT;HSPA2;TIMP1",4
"AFLATOXIN B1 CTD 00007128",0.0310715136413263,6.51362661156466,0.103656606983769,"CDKN1A;ERAP2;LUM;ADH1B;NPR3;MT1X;ABCA8;PPM1K;CXCL14;SAT1;SOCS2;CCND1;ALOX5AP;MRC1;TIMP1",15
"MCDF CTD 00002334",0.0319832597603845,118.298823221544,0.103782280891335,"CDKN1A",1
"3-Nitrobenzanthrone CTD 00003634",0.0319832597603845,118.298823221544,0.103782280891335,"CXCL14",1
"Tipifarnib CTD 00003753",0.0319832597603845,118.298823221544,0.103782280891335,"CCND1",1
"BERBAMINE CTD 00001312",0.0319832597603845,118.298823221544,0.103782280891335,"CCND1",1
"meclizine CTD 00006252",0.0319832597603845,118.298823221544,0.103782280891335,"TIMP1",1
"Beclomethasone 17-monopropionate CTD 00002649",0.0319832597603845,118.298823221544,0.103782280891335,"FKBP5",1
"CHEMBL380598 TTD 00005159",0.0319832597603845,118.298823221544,0.103782280891335,"CCND1",1
"spermidine CTD 00006769",0.0319832597603845,118.298823221544,0.103782280891335,"SAT1",1
"thioguanosine MCF7 UP",0.0320599403367199,25.7611987779317,0.103782280891335,"CEBPB;CDKN1A",2
"diethylstilbestrol CTD 00005818",0.0314773518531827,15.8781607624196,0.103782280891335,"CEBPB;CCND1;SAT1",3
"thapsigargin MCF7 UP",0.0319959768246377,12.1367256713353,0.103782280891335,"SOCS2;CEBPB;CDKN1A;MT1X",4
"7646-79-9 CTD 00000928",0.0321291582120595,6.41863607527819,0.103782280891335,"CENPV;CDKN1A;NNMT;MGST1;FBLN1;MT1X;SAT1;C3;SFRP1;CCND1;GNPNAT1;MAGED2;ANGPTL4;FKBP5;HLA-DPA1",15
"hydroxyurea CTD 00006132",0.032681046976022,25.3437075662971,0.105286433661538,"CDKN1A;CCND1",2
"lanatoside C PC3 UP",0.0329927662811831,11.9079017746631,0.105732723436548,"CDKN1A;BCL6;ANGPTL4;SAT1",4
"rosiglitazone CTD 00003139",0.0329927662811831,11.9079017746631,0.105732723436548,"CDKN1A;CCND1;NAMPT;RXRG",4
"lovastatin CTD 00006225",0.033306894189603,24.9366244949129,0.106459994255249,"CDKN1A;CCND1",2
"8-HYDROXYQUINOLINE CTD 00007045",0.0335682321619362,15.1821022129867,0.107015173550194,"CDKN1A;PCOLCE2;AMOT",3
"ciclopirox PC3 UP",0.033937449644033,24.5395912631225,0.107910484415011,"CDKN1A;ANGPTL4",2
"Dimethyl-IQX CTD 00002023",0.0348404717697619,104.866024184965,0.109357881827453,"CDKN1A",1
"4-Methylhistamine CTD 00001201",0.0348404717697619,104.866024184965,0.109357881827453,"CD14",1
"AR-A014418 CTD 00004251",0.0348404717697619,104.866024184965,0.109357881827453,"CCND1",1
"spermine TTD 00011039",0.0348404717697619,104.866024184965,0.109357881827453,"CA14",1
"64551-89-9 CTD 00001258",0.0348404717697619,104.866024184965,0.109357881827453,"CDKN1A",1
"alexidine HL60 UP",0.035212556639049,23.7743191541034,0.109960439018616,"MT1M;MT1X",2
"ACMC-20mvek CTD 00002629",0.035212556639049,23.7743191541034,0.109960439018616,"CDKN1A;CD14",2
"METHAMPHETAMINE CTD 00006286",0.0358570442236847,23.4054392291346,0.11168737499265,"PCOLCE2;EIF4EBP1",2
"AM-630 CTD 00003207",0.0376893933426092,93.8717911205281,0.112349416612928,"TIMP1",1
"methazolamide CTD 00006289",0.0376893933426092,93.8717911205281,0.112349416612928,"TIMP1",1
"7-hydroxycoumarin CTD 00001513",0.0376893933426092,93.8717911205281,0.112349416612928,"CCND1",1
"2,2'-BIPYRIDINE CTD 00007027",0.0376893933426092,93.8717911205281,0.112349416612928,"ANGPTL4",1
"Tesmilifene CTD 00001953",0.0376893933426092,93.8717911205281,0.112349416612928,"CD14",1
"amifostine CTD 00005933",0.0376893933426092,93.8717911205281,0.112349416612928,"CDKN1A",1
"prima-1 CTD 00004034",0.0376893933426092,93.8717911205281,0.112349416612928,"CDKN1A",1
"Triphenyltin hydroxide CTD 00000355",0.0376893933426092,93.8717911205281,0.112349416612928,"RXRG",1
"Penconazole CTD 00003093",0.0376893933426092,93.8717911205281,0.112349416612928,"CCND1",1
"roscovitine TTD 00010683",0.0376893933426092,93.8717911205281,0.112349416612928,"CCND1",1
"1H-Pyrrole-2,5-dione, 3,4-diphenyl- TTD 00000418",0.0376893933426092,93.8717911205281,0.112349416612928,"CCND1",1
"1H-Pyrrole-2,5-dione, 3,4-bis(4-methoxyphenyl)- TTD 00000417",0.0376893933426092,93.8717911205281,0.112349416612928,"CCND1",1
"AGN-PC-00BUNE TTD 00001660",0.0376893933426092,93.8717911205281,0.112349416612928,"CCND1",1
"herbimycin a CTD 00001010",0.0376893933426092,93.8717911205281,0.112349416612928,"TIMP1",1
"azacitidine MCF7 UP",0.0371597287548691,22.693690652299,0.112349416612928,"CEBPB;SAT1",2
"3,3'-Diindolylmethane CTD 00000841",0.0378178625945237,22.3502593327686,0.112349416612928,"CDKN1A;CCND1",2
"topotecan CTD 00007293",0.0375856603501862,14.0150289693418,0.112349416612928,"SFRP1;HSPA2;NUDT4",3
"amiodarone CTD 00005381",0.0368217381625284,9.52680796328462,0.112349416612928,"CEBPB;EIF4EBP1;MGST1;MYH11;MT1X",5
"quercetin CTD 00006679",0.037734795700456,5.97105538964758,0.112349416612928,"CEBPB;CDKN1A;PCOLCE2;NPR3;MT1M;MT1X;PPM1K;SAT1;SFRP1;CCND1;PITPNM1;ALOX5AP;TIMP1;ANGPTL4;RXRG",15
"Imatinib CTD 00003267",0.0384804823159181,22.0147676763842,0.113764331495729,"CEBPB;EIF4EBP1",2
"Pinosylvin CTD 00002139",0.0384804823159181,22.0147676763842,0.113764331495729,"CDKN1A;CCND1",2
"TPEN CTD 00001994",0.0387224316957433,13.7190131654637,0.11420311376933,"CCND1;MT1X;CD14",3
"carbamazepine CTD 00005574",0.0396354510286097,10.6019635150638,0.116614182423934,"CEBPB;CCND1;EIF4EBP1;SAT1",4
"urethane CTD 00006966",0.040530048064478,84.7260236205579,0.117268219636795,"CCND1",1
"benzyl isothiocyanate CTD 00001509",0.040530048064478,84.7260236205579,0.117268219636795,"CDKN1A",1
"Perfluoroundecanoic acid CTD 00003373",0.040530048064478,84.7260236205579,0.117268219636795,"ANGPTL4",1
"ALLYL ISOTHIOCYANATE CTD 00000143",0.040530048064478,84.7260236205579,0.117268219636795,"CDKN1A",1
"L-cysteine CTD 00005741",0.040530048064478,84.7260236205579,0.117268219636795,"CCND1",1
"SODIUM CHROMATE CTD 00001363",0.040530048064478,84.7260236205579,0.117268219636795,"CDKN1A",1
"CHEMBL475540 TTD 00006054",0.040530048064478,84.7260236205579,0.117268219636795,"ADAMTS5",1
"CHEMBL55802 CTD 00003118",0.0433624594690451,77.0124855419272,0.120011738104877,"TIMP1",1
"Paraoxon-methyl CTD 00000411",0.0433624594690451,77.0124855419272,0.120011738104877,"CDKN1A",1
"GW0742 CTD 00004254",0.0433624594690451,77.0124855419272,0.120011738104877,"ANGPTL4",1
"Raltitrexed CTD 00002721",0.0433624594690451,77.0124855419272,0.120011738104877,"SAT1",1
"Cinobufagin CTD 00000078",0.0433624594690451,77.0124855419272,0.120011738104877,"CDKN1A",1
"pd 168393 CTD 00004570",0.0433624594690451,77.0124855419272,0.120011738104877,"CDKN1A",1
"Homocastasterone CTD 00002741",0.0433624594690451,77.0124855419272,0.120011738104877,"CDKN1A",1
"alfacalcidol CTD 00000387",0.0433624594690451,77.0124855419272,0.120011738104877,"CD14",1
"PCI-24781 CTD 00004605",0.0433624594690451,77.0124855419272,0.120011738104877,"CDKN1A",1
"Ciprofibrate CTD 00000977",0.0433624594690451,77.0124855419272,0.120011738104877,"CD14",1
"Dimaprit CTD 00007150",0.0433624594690451,77.0124855419272,0.120011738104877,"CD14",1
"Carboxyamidotriazole CTD 00002547",0.0433624594690451,77.0124855419272,0.120011738104877,"CCND1",1
"DIOSGENIN CTD 00005850",0.0433624594690451,77.0124855419272,0.120011738104877,"CCND1",1
"TITANIUM CTD 00006899",0.0433624594690451,77.0124855419272,0.120011738104877,"TIMP1",1
"Carnosic acid CTD 00000939",0.0433624594690451,77.0124855419272,0.120011738104877,"CD14",1
"coumarin TTD 00007292",0.0433624594690451,77.0124855419272,0.120011738104877,"CA14",1
"scopoletin TTD 00010903",0.0433624594690451,77.0124855419272,0.120011738104877,"ERAP2",1
"docetaxel CTD 00002688",0.0418597819447667,20.4478988469396,0.120011738104877,"CDKN1A;ABCA8",2
"rifabutin MCF7 DOWN",0.0425486665846378,20.1550752632466,0.120011738104877,"CCND1;PCNT",2
"Premarin CTD 00005926",0.0434440526145417,12.6197273733488,0.120011738104877,"CDKN1A;CCND1;PPM1K",3
"tolnaftate PC3 UP",0.0438500442556316,12.533820668703,0.120859828523987,"ATP1B4;MYH11;CXCL14",3
"phthalic acid CTD 00001559",0.0461866510315301,70.4295798356259,0.122595436759779,"RXRG",1
"p-Propenylanisole CTD 00000298",0.0461866510315301,70.4295798356259,0.122595436759779,"TIMP1",1
"Estrone sulfate CTD 00000891",0.0461866510315301,70.4295798356259,0.122595436759779,"ABCA8",1
"Rimonabant hydrochloride CTD 00003133",0.0461866510315301,70.4295798356259,0.122595436759779,"CCND1",1
"sodium chloride CTD 00006751",0.0461866510315301,70.4295798356259,0.122595436759779,"CDKN1A",1
"4-Hydroperoxycyclofosfamide CTD 00000594",0.0461866510315301,70.4295798356259,0.122595436759779,"CDKN1A",1
"73151-67-4 CTD 00006204",0.0461866510315301,70.4295798356259,0.122595436759779,"ALOX5AP",1
