"cell","GSM210289","GSM210290","GSM210291","GSM210292","GSM210293","GSM210294","GSM210295","GSM210296","GSM210297","GSM210298","GSM210299","GSM210300","GSM210301","GSM210302","GSM210303","GSM210304","GSM210305","GSM210306","GSM210307","GSM210308","GSM210309","GSM210310","GSM210311","GSM210312","GSM210313","GSM210314","GSM210315","GSM210316","GSM210317","GSM210318","GSM210319","GSM210320","GSM210321","GSM210322","GSM210323","GSM210324","GSM210325","GSM210326","GSM210327","GSM210328","GSM210329","GSM210330","GSM210331","GSM210332","GSM210333","GSM210334","GSM210335","GSM210336","GSM210337","GSM210338","GSM210339"
"Macrophages M1",-0.235327314595889,-0.34558120971989,-0.268247650256087,-0.123701280874066,-0.246224254802822,-0.163444359517331,-0.126575658877079,-0.174064436069011,-0.152372069113766,-0.1950253678362,-0.227271076893164,-0.255979934079809,-0.278862707155304,-0.205194557653851,-0.276956863300677,-0.302583457053872,-0.302510311107407,-0.218697616968042,-0.160998937875724,-0.16658867226177,-0.322057102349665,-0.241066499463405,-0.216514511744199,-0.283673998876257,-0.225353864207508,-0.238680933751612,-0.254708881530911,-0.31017955984738,-0.243536545866722,-0.150727651731196,-0.133255586571349,-0.180565483099963,-0.207448896331687,-0.185828268115331,-0.255432796456561,-0.423874931488904,-0.228245539568661,-0.0490093827992328,-0.228848266049058,-0.312811584861846,-0.297701332028797,-0.264804684972151,-0.276310643406841,-0.159215353584816,-0.269505167693026,-0.343755707266838,-0.317935194449422,-0.295004474412127,-0.309983301733764,-0.37287156759073,-0.192766731650787
"Macrophages M2",-0.201189611729985,-0.0314609519280041,-0.105376148717261,0.111056472675251,0.0640800649922325,0.040700988257282,0.0689503097359085,-0.13027782900087,-9.34770564958806e-05,-0.0323256975914011,0.0372884635878376,0.0599240807521066,-0.0376574156182617,0.12300826385299,-0.0338846508578181,-0.0169535216994651,0.095312035523538,0.244453372524297,-0.00769186845285709,0.0923172603351818,0.00380977276463924,-0.0285602327717176,-0.0145170684854093,0.120849702445994,0.0259992162200958,0.0152121687604451,0.0839243821066925,0.217872627224236,0.141785094017533,0.190195297869566,0.194671981709408,0.0597890112413366,0.198654271550999,0.0673777914572931,0.0195415075254036,0.128683938016061,0.201128889372948,0.350533504410079,0.193296417967496,0.186795051806442,0.217751940530725,0.082985793625083,0.0745937369332249,0.0872517554409658,0.0578219693024249,0.0798987954212059,0.153886980169198,0.12128282416418,0.0844335089656796,0.111989074714495,0.197424340285448
"Dendritic cells",-0.266884690472631,-0.137626112033507,-0.265440810016515,-0.16275521596266,-0.176528530427045,-0.278454446689228,-0.29304359341079,-0.224041730348522,-0.259803973532754,-0.240455088275397,-0.333354798119508,-0.137600142290451,-0.187407751626024,-0.147175604216552,-0.190133112626403,-0.221372880545537,-0.146368390898737,-0.183080969748201,-0.310665697688597,-0.26546498878564,-0.258994298291489,-0.0991020599165208,-0.191676743802487,-0.244118500248213,-0.192090135232256,-0.138197330698355,-0.358719159404427,-0.373744937498824,-0.185373628966945,-0.351138835180909,-0.202210727836178,-0.374634761301351,-0.0597920182233639,-0.45033341603691,-0.378591149315181,-0.319945848647404,-0.217265422020438,-0.0871665545593358,-0.300319715586157,-0.398286272660568,-0.29147273421576,-0.332186860789294,-0.246548354649526,-0.301301340978847,-0.35861902210127,-0.498127687340517,-0.43506243457881,-0.391098159193016,-0.314475998931823,-0.318505516296506,-0.205001025003371
"pDC",-0.278375672532138,-0.290600462407373,-0.320209225566435,-0.184143352058092,-0.282927087406202,-0.306255442884429,-0.267345975561522,-0.274299564856196,-0.34232833295108,-0.330559403071094,-0.20044339653302,-0.371669744783185,-0.315473536403329,-0.223130888331585,-0.239031095942854,-0.282749976226918,-0.2555472400544,-0.188011871809312,-0.271727647228347,-0.296740306660861,-0.240746294116512,-0.22030735921304,-0.166895951681723,-0.265989507850632,-0.279747630237067,-0.219588696312574,-0.210794079392632,-0.287884750838291,-0.227035763254559,-0.279612203485098,-0.250439301236432,-0.259641717219084,-0.261894359615675,-0.135454075913281,-0.246852238064972,-0.313257159242292,-0.259858252192723,-0.0676070024391081,-0.252467317435126,-0.256176041771323,-0.295351140810514,-0.206108596136318,-0.211716475922597,-0.330052802704327,-0.250973553587526,-0.264505481672161,-0.305610692616644,-0.291448742970367,-0.297823730320739,-0.350748060206569,-0.229506819399546
"Neutrophils",0.104898083313683,-0.136245052469854,-0.26719221132226,-0.117247908195067,-0.285082660379648,-0.0178926503175884,-0.172815656438327,0.147624758341566,-0.12866015563497,-0.14155515983828,-0.309258881865804,-0.299776234853987,-0.302106264402216,-0.138480553982245,-0.288964818995148,-0.224303458200564,-0.175423151333152,-0.0900777871055214,0.0286457951625467,-0.106256894378397,-0.163359804718947,-0.212382848334306,-0.128068736738499,-0.280183756204969,-0.0617345819405236,-0.244349902676497,-0.142506902654005,-0.104443153303072,-0.237406372415296,-0.0802635272020895,-0.139630902324443,-0.154311148048789,-0.103949587220176,-0.260504798698873,-0.187198727268089,-0.204296955469207,-0.166938873954924,-0.020027522072872,-0.240317864162188,-0.24154208949088,-0.291981830593729,-0.188047362571382,-0.231135441550427,0.232364640947291,-0.158345254979178,-0.241926788446706,-0.156919946521978,-0.242947309228875,-0.280254598628446,-0.17072574203681,-0.0243226913591993
"Mast cells",-0.301618301162421,0.0129405881619027,-0.156675383980199,0.0450968909308555,0.0759841631122542,0.00188486038931434,-0.119680195739462,-0.0482546165436684,0.0841013037716804,-0.0125095833296976,0.0996657392553836,0.139357141708154,0.0277121882810955,0.00603113214331164,0.0886647785146215,0.0525783194732311,0.0230951953571192,0.0398736081792439,-0.221692349050708,0.122813674725482,0.14267541920391,-0.0179406838553709,-0.0596579221555446,0.0880460576335698,0.113737732596794,0.0124175503174734,0.0180747151681471,0.225350822581592,0.171948080269858,0.135658432815224,-0.0114083451526317,0.134783684176623,0.131588365616,-0.0590488973062151,0.00407281971560207,0.198376812815234,0.113815345439104,0.223795325087925,0.144122231979418,0.108195294448462,0.128434288136546,-0.120242800880671,-0.113418226575891,-0.0334475234887626,-0.0549353960328272,-0.0376029072089095,0.0205837978587492,0.19838380971694,0.0151946280284901,0.107079698896611,0.182421161925152
"Eosinophils",-0.199160277352535,-0.299452446987554,-0.18692226343247,-0.201860694090205,-0.222148034101426,-0.149359524614247,-0.110639027697128,-0.26691261430796,-0.349185029967789,-0.305277078831863,-0.366369246215306,-0.225466324617136,-0.174929283213347,-0.310559991409432,-0.18965872992777,-0.230217894862823,-0.310206493378063,-0.189871408847071,-0.223534363825288,-0.319147169486201,-0.30482169140586,-0.313819102457358,-0.274869308421594,-0.214408996007144,-0.181931488165514,-0.277177682200428,-0.208776599121409,-0.263731216289641,-0.18305658789122,-0.174118660251532,-0.299623348132197,-0.391008267270249,-0.39732395438955,-0.270163960717442,-0.17996486455526,-0.41881870658107,-0.172788093019558,-0.295715787584989,-0.284958978778,-0.35264648838564,-0.304854975695612,-0.327098933411075,-0.174097449873412,-0.251566372101574,-0.223872947326158,-0.259340027510285,-0.267543871951128,-0.263359707392273,-0.147842324678083,-0.183921286820408,-0.194725032216461
"Cytotoxic",-0.136174191665212,-0.12311942324728,-0.267001302120721,-0.197334307792304,-0.166596150734952,-0.291326643098406,-0.428066785875582,-0.111193240901827,-0.198683771144589,-0.355119701855324,-0.0654018665581508,-0.109935791005129,-0.191940612356282,-0.269402894356975,-0.217665692901675,-0.229427032938704,-0.132787286806873,-0.126327602490639,-0.265548328493382,-0.048688986668834,-0.122042292979662,-0.232807778351323,-0.0629523633627423,-0.125758561942851,-0.147453645470583,-0.0989063309901448,-0.0716717619119859,-0.183799245721689,-0.208387030241956,-0.0141862838431713,-0.0623899955598488,-0.341264238442999,-0.093910872920858,0.0471781451183997,-0.107939921849261,-0.243255461583157,-0.206076560439654,0.262924681920976,0.0405306061208429,0.00674873701814599,-0.0678736428819777,0.0564666812072005,-0.22575042557777,-0.11587285613688,-0.0255005888707684,-0.260166067059188,-0.0147501361147661,-0.116345030176865,-0.165887529102014,-0.275941420049465,-0.0378064238389784
"Tem",0.208092398646979,0.0218414166113294,0.177108035137182,0.181730290668837,0.0599227314888958,0.145551064726079,0.0437800467622438,0.111623064556364,0.0830869228171145,0.0930437560262735,0.0301082541607631,0.00130963334564259,-0.0304471133079099,0.152596612754223,0.0275527369111714,0.10629047654818,0.0671837394484579,0.0927757606256082,0.117349379256297,0.167282030825486,0.158284678045162,-0.0212982294865868,0.00575482113896108,0.120160859008195,0.128116121375973,0.0863968849587358,0.17011929156773,0.0659183014334513,0.0890518160910753,0.121397029670551,0.0886467915451309,0.0759385694000958,0.090655581694235,0.134563475761673,0.0913694307282262,0.0859530693666336,0.121558300281514,0.153485974309789,0.105773827296497,0.111835883247187,0.11225350143166,0.0789170853933944,0.100940652405744,0.167137515985485,0.128355303154369,0.10355754459798,0.107388348736977,0.12618440109624,0.0444790481908576,0.103634141378381,0.117223190557786
"MDSC",-0.0979734379581986,-0.170065524153527,-0.231374733804284,-0.0796455048048554,-0.259853154914798,-0.140459063111823,-0.246760056564917,-0.00678590580359195,-0.223748364777165,-0.325045851808247,-0.209763763482215,-0.165969294454525,-0.333157377273786,-0.129451488359624,-0.287455606801076,-0.135127845012149,-0.0903413211656039,-0.12821485499518,-0.185010451385386,-0.220990461557661,-0.116514300943428,-0.466286826203606,-0.290732291812258,-0.228335887597755,-0.121108796778268,-0.257561214556388,-0.0640114074825514,-0.0234250694011193,-0.183721760946224,-0.0578996154347291,-0.11271552304722,-0.084878933475446,-0.0615096448881829,-0.173396838992924,-0.171434942251854,-0.142007759407708,-0.14148118543689,0.193105037159757,-0.133160491408293,-0.180883618242485,-0.0890494213645227,-0.147180373892232,-0.204701125754045,0.0111475201987014,-0.161665332793383,-0.240250935099336,-0.168539819942301,-0.183834930426378,-0.173634690383106,-0.139660395243496,-0.026305033004789
