tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
heart,fibroblast,PITPNM1,0.009298069065911492,1.2877797704084217,98697
heart,fibroblast,MAGED2,0.12082064789257083,10.958793073750975,98697
heart,fibroblast,NUDT4,0.07647772834179173,9.12793701936229,98697
heart,fibroblast,MTFP1,0.002493295652452778,0.3485414956888254,98697
heart,fibroblast,PPM1K,0.06054970930089767,7.327477025644143,98697
heart,fibroblast,NAMPT,0.25813032565549815,20.59839711440064,98697
heart,fibroblast,CCND1,0.0484624618875056,4.222012827137603,98697
heart,fibroblast,FBLN1,0.47316313832637436,40.05795515567849,98697
heart,fibroblast,ERAP2,0.023193038135453852,2.9940119760479043,98697
heart,fibroblast,CENPV,0.020598685526309873,2.7640151169741736,98697
heart,pericyte,EIF4EBP1,0.03247048590977677,4.085525103763668,92277
heart,pericyte,PITPNM1,0.011325809166190805,1.5843601330775816,92277
heart,pericyte,MAGED2,0.1277761925170732,14.115109940721958,92277
heart,pericyte,NUDT4,0.13773736310051438,16.789665897244166,92277
heart,pericyte,MTFP1,0.005983509312502611,0.824690876383064,92277
heart,pericyte,PPM1K,0.08348390664807007,10.663545628921616,92277
heart,pericyte,NAMPT,0.14440756436978214,15.30392188736088,92277
heart,pericyte,CCND1,0.0772398899521778,8.322767320133945,92277
heart,pericyte,FBLN1,0.11035402077933104,13.85285607464482,92277
heart,pericyte,ERAP2,0.021051501768396538,2.7460797381796116,92277
heart,pericyte,CENPV,0.023889054046973234,3.2965961182093046,92277
heart,native cell,EIF4EBP1,0.07056431857766284,7.296101807171918,84552
heart,native cell,PITPNM1,0.012346849264220153,1.7054593622859306,84552
heart,native cell,MAGED2,0.11279778670188619,10.802819566657204,84552
heart,native cell,NUDT4,0.23567477370692422,23.230674614438453,84552
heart,native cell,MTFP1,0.009647108914047037,1.2465701580092725,84552
heart,native cell,PPM1K,0.285789611573555,25.098164443182892,84552
heart,native cell,NAMPT,0.2627224637156167,25.18450184501845,84552
heart,native cell,CCND1,0.07798813541735884,7.848424638092535,84552
heart,native cell,FBLN1,0.20335181751684567,20.05274860440912,84552
heart,native cell,ERAP2,0.04622746146958061,6.074368435992052,84552
