tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
muscle,endothelial cell of vascular tree,PITPNM1,0.004499461489802065,0.5139500734214391,6810
muscle,endothelial cell of vascular tree,MAGED2,0.2804859397169777,21.013215859030836,6810
muscle,endothelial cell of vascular tree,NUDT4,0.321675063947574,25.94713656387665,6810
muscle,endothelial cell of vascular tree,MTFP1,0.01511022081809247,0.7929515418502202,6810
muscle,endothelial cell of vascular tree,PPM1K,0.08879473948093589,7.929515418502203,6810
muscle,endothelial cell of vascular tree,NAMPT,1.1734999004089535,50.41116005873715,6810
muscle,endothelial cell of vascular tree,CCND1,0.0991759183473349,10.058737151248165,6810
muscle,endothelial cell of vascular tree,FBLN1,0.03351647796084702,3.303964757709251,6810
muscle,endothelial cell of vascular tree,ERAP2,0.20825706730855195,15.624082232011748,6810
muscle,endothelial cell of vascular tree,CENPV,0.00773180213793784,0.6901615271659325,6810
muscle,skeletal muscle fibroblast,EIF4EBP1,0.054604657829745294,7.390495518349399,5913
muscle,skeletal muscle fibroblast,PITPNM1,0.0007719175073271089,0.10147133434804667,5913
muscle,skeletal muscle fibroblast,MAGED2,0.010198512578119425,1.4713343480466767,5913
muscle,skeletal muscle fibroblast,NUDT4,0.047469694159185345,6.358870285810925,5913
muscle,skeletal muscle fibroblast,MTFP1,0.0,0.0,5913
muscle,skeletal muscle fibroblast,PPM1K,0.021726330947940492,3.0948756976154237,5913
muscle,skeletal muscle fibroblast,NAMPT,0.030706430880648016,4.126500930153898,5913
muscle,skeletal muscle fibroblast,CCND1,0.0005861214125355992,0.08455944529003889,5913
muscle,skeletal muscle fibroblast,FBLN1,0.23912663708155718,26.484018264840184,5913
muscle,skeletal muscle fibroblast,ERAP2,0.013872304019963462,1.9448672416708945,5913
muscle,skeletal muscle fibroblast,CENPV,0.0015239156725925579,0.21985455775410112,5913
muscle,skeletal muscle satellite cell,EIF4EBP1,0.012158531922406462,1.6270118964310707,5716
muscle,skeletal muscle satellite cell,PITPNM1,0.0022536939136459746,0.31490552834149754,5716
muscle,skeletal muscle satellite cell,MAGED2,0.05312090966149258,7.207837648705389,5716
muscle,skeletal muscle satellite cell,NUDT4,0.006761081740937923,0.9447165850244926,5716
muscle,skeletal muscle satellite cell,MTFP1,0.0015764369090342538,0.22743177046885935,5716
muscle,skeletal muscle satellite cell,PPM1K,0.013078317682254223,1.7844646606018195,5716
muscle,skeletal muscle satellite cell,NAMPT,0.006630699813073961,0.8572428271518544,5716
muscle,skeletal muscle satellite cell,CCND1,0.04973482209706823,6.682995101469559,5716
muscle,skeletal muscle satellite cell,FBLN1,0.0376196751818113,4.986004198740378,5716
muscle,skeletal muscle satellite cell,ERAP2,0.0032947440511117538,0.4548635409377187,5716
muscle,skeletal muscle satellite cell,CENPV,0.011522486628645195,1.5395381385584326,5716
muscle,skeletal muscle satellite stem cell,EIF4EBP1,0.10388712630314355,8.818050093148416,4831
muscle,skeletal muscle satellite stem cell,PITPNM1,0.027753249874916463,3.4982405299109915,4831
muscle,skeletal muscle satellite stem cell,MAGED2,0.3566586395100613,30.594079900641688,4831
muscle,skeletal muscle satellite stem cell,NUDT4,0.47972214708069644,44.38004553922583,4831
muscle,skeletal muscle satellite stem cell,MTFP1,0.02629660681596431,2.2769612916580417,4831
muscle,skeletal muscle satellite stem cell,PPM1K,0.23178224542870873,22.12792382529497,4831
muscle,skeletal muscle satellite stem cell,NAMPT,1.5004659976753925,78.09977230387084,4831
muscle,skeletal muscle satellite stem cell,CCND1,0.06233951478388412,4.98861519354171,4831
muscle,skeletal muscle satellite stem cell,FBLN1,0.34883263786740737,29.455599254812668,4831
muscle,skeletal muscle satellite stem cell,ERAP2,0.032160276064737515,3.332643345063134,4831
muscle,skeletal muscle satellite stem cell,CENPV,0.025006231055499553,2.173463051128131,4831
muscle,macrophage,EIF4EBP1,0.27860637233620067,19.682059046177137,2642
muscle,macrophage,PITPNM1,0.09076400226395208,6.4723694171082515,2642
muscle,macrophage,MAGED2,0.12783020423453112,10.257380772142316,2642
muscle,macrophage,NUDT4,0.30416383619655,25.321725965177894,2642
muscle,macrophage,MTFP1,0.04153860580912149,2.3467070401211205,2642
muscle,macrophage,PPM1K,0.11768420571905479,10.711582134746404,2642
muscle,macrophage,NAMPT,1.7762412936916683,67.10825132475398,2642
muscle,macrophage,CCND1,0.08246610928989558,7.305071915215746,2642
muscle,macrophage,FBLN1,0.03729430790835488,3.9742619227857685,2642
muscle,macrophage,ERAP2,0.14915144010351788,12.717638152914459,2642
muscle,macrophage,CENPV,0.006423045792965885,0.26495079485238454,2642
muscle,capillary endothelial cell,EIF4EBP1,0.05759230890581685,5.2109181141439205,2015
muscle,capillary endothelial cell,PITPNM1,0.0502712893426862,4.962779156327543,2015
muscle,capillary endothelial cell,MAGED2,0.35306489834418664,25.062034739454095,2015
muscle,capillary endothelial cell,NUDT4,0.2827232811646189,25.806451612903224,2015
muscle,capillary endothelial cell,MTFP1,0.02104309332873626,1.488833746898263,2015
muscle,capillary endothelial cell,PPM1K,0.17327097036110853,15.930521091811414,2015
muscle,capillary endothelial cell,NAMPT,1.428387682017854,69.57816377171216,2015
muscle,capillary endothelial cell,CCND1,0.35769677718283227,27.791563275434243,2015
muscle,capillary endothelial cell,FBLN1,0.07412293075627784,6.600496277915632,2015
muscle,capillary endothelial cell,ERAP2,0.2878746972190535,21.439205955334987,2015
muscle,capillary endothelial cell,CENPV,0.015780804825775676,0.9925558312655087,2015
muscle,fast muscle cell,EIF4EBP1,0.16728237911889407,8.012994044396319,1847
muscle,fast muscle cell,PITPNM1,0.0,0.0,1847
muscle,fast muscle cell,MAGED2,0.04303480401578696,3.573362208987547,1847
muscle,fast muscle cell,NUDT4,0.07956897702550139,6.876015159718462,1847
muscle,fast muscle cell,MTFP1,0.006412505070841758,0.2707092582566324,1847
muscle,fast muscle cell,PPM1K,0.015538933603713237,1.6242555495397943,1847
muscle,fast muscle cell,NAMPT,0.05484441518138148,6.063887384948565,1847
muscle,fast muscle cell,CCND1,0.0028631657474932955,0.10828370330265295,1847
muscle,fast muscle cell,FBLN1,0.0037528271925533277,0.5414185165132648,1847
muscle,fast muscle cell,ERAP2,0.007944707039180935,0.9745533297238765,1847
muscle,fast muscle cell,CENPV,0.029132981137707868,2.490525175961018,1847
muscle,pericyte,EIF4EBP1,0.13384080677393953,11.705685618729097,1794
muscle,pericyte,PITPNM1,0.07499973843063133,8.58416945373467,1794
muscle,pericyte,MAGED2,0.7934640705120337,55.46265328874024,1794
muscle,pericyte,NUDT4,1.002382637465678,69.7324414715719,1794
muscle,pericyte,MTFP1,0.00924152328550749,1.0033444816053512,1794
muscle,pericyte,PPM1K,0.37290909344801804,31.103678929765888,1794
muscle,pericyte,NAMPT,1.4537795659823296,72.07357859531773,1794
muscle,pericyte,CCND1,0.38226122933220835,29.208472686733558,1794
muscle,pericyte,FBLN1,0.433714954550051,33.83500557413601,1794
muscle,pericyte,ERAP2,0.162434791375695,14.548494983277592,1794
muscle,pericyte,CENPV,0.04944317742202061,4.849498327759197,1794
muscle,dendritic cell,EIF4EBP1,0.04021611395503909,5.658056580565805,813
muscle,dendritic cell,PITPNM1,0.011936113843178837,1.7220172201722017,813
