"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-0.161488005282499,7.57543381414179,-6.97377305720653,1.8221898413222e-11,1.34059691413512e-10,15.2841957186459,"TIMM44","ns"
0.389218867385041,3.5004163125431,6.96875203617444,1.87941041738811e-11,1.38219239628826e-10,15.2539381537541,"TNMD","up"
0.195521077235674,6.04916948781131,6.96820986902645,1.88569381508638e-11,1.38631007371178e-10,15.2506719114461,"ALS2CR4","ns"
0.14704248787905,7.16989072922504,6.96752578454829,1.89365144682865e-11,1.39165516705615e-10,15.2465509648075,"FAM73A","ns"
0.243928860789149,6.68795125592201,6.96505469360014,1.92267264798849e-11,1.41247050461947e-10,15.2316674996066,"MYEF2","ns"
-0.363639597320295,11.3859576411576,-6.96410983893481,1.93388454927454e-11,1.42019208343026e-10,15.2259776283699,"MT2A","ns"
0.173820989539902,6.6170641683632,6.96312465094141,1.94564355267747e-11,1.42830969611923e-10,15.2200454731243,"RAB24","ns"
0.161973466620398,7.72255128408085,6.96082544967479,1.97336066911496e-11,1.44788066583682e-10,15.206203581677,"KIAA0528","ns"
0.158690155023098,7.02509191922379,6.96079479286579,1.97373285196774e-11,1.44788066583682e-10,15.2060190409551,"NBN","ns"
0.203368152760429,4.94072627277075,6.95921739722701,1.99297637929491e-11,1.46146790681532e-10,15.1965246046184,"CIR1","ns"
-0.143727681711427,7.79153243668635,-6.95792292330568,2.00890617004876e-11,1.47261619863075e-10,15.1887342671989,"SND1","ns"
-0.471668392567041,6.24353156284848,-6.95708530980386,2.01928051554739e-11,1.47968551236964e-10,15.1836939493411,"RNF157","down"
0.262080599367303,8.89909968649726,6.9568177029454,2.02260608225038e-11,1.4815863866148e-10,15.1820837255376,"LIMCH1","ns"
0.230434725632628,9.03690125548482,6.9559243348164,2.03374708530788e-11,1.48920872978401e-10,15.1767085465977,"ANTXR2","ns"
0.225427109868183,4.35987579475728,6.95508948700319,2.04421284908368e-11,1.49633129907268e-10,15.1716859270196,"TMEM17","ns"
0.607369899308128,7.07749848450297,6.95273458344036,2.07402057019171e-11,1.51760161230718e-10,15.1575207120294,"DOK5","up"
-0.279458892315406,6.46752376408813,-6.95193590392923,2.08422680817338e-11,1.52451895170616e-10,15.1527172931381,"PARD6B","ns"
-0.143174055946815,8.57068496316306,-6.95181288520748,2.08580323574783e-11,1.52512125403742e-10,15.151977469773,"NCK2","ns"
-0.413806279792681,4.45811105780416,-6.95116881491839,2.09407586157708e-11,1.53061755685248e-10,15.1481042463608,"PTGER2","down"
-0.259951049100513,7.73511843262419,-6.95067003889468,2.10050445327719e-11,1.53476252513262e-10,15.1451049546913,"FADS1","ns"
0.141312716207259,7.13968415814913,6.94989938519555,2.11047539317286e-11,1.54149183603762e-10,15.1404710899902,"KDM5A","ns"
-0.251900157860335,7.39005818460367,-6.94980561794583,2.11169175353004e-11,1.54182425291988e-10,15.1399073024478,"BAG2","ns"
0.490915533555002,4.4749908785616,6.9490582845791,2.12141093695703e-11,1.54836241863523e-10,15.1354140645071,"SNORD115-42","up"
-0.138321143136809,7.0715196869211,-6.94689190593796,2.14983436188582e-11,1.56854269328657e-10,15.1223910147744,"KEAP1","ns"
0.699793161230139,8.02947383808979,6.94651545287176,2.15481157978701e-11,1.57160798476795e-10,15.1201282941425,"EDIL3","up"
-0.233750624600904,3.29182742136577,-6.9456276927382,2.16659389451995e-11,1.57963256802042e-10,15.1147926509901,"PIGH","ns"
0.323810195911331,4.2664319510017,6.94323072683676,2.19872379284974e-11,1.60248116949905e-10,15.1003888295938,"P2RX7","ns"
-0.249488462963587,7.78721708764677,-6.94236172917463,2.21048757047978e-11,1.61047536879487e-10,15.0951677583781,"COL4A2","ns"
0.399565032503009,10.035016520404,6.9417307282576,2.21906832043398e-11,1.6161456225124e-10,15.0913769083257,"ADPRHL1","up"
0.235032690685841,3.68990185879552,6.94062912177121,2.23412726162921e-11,1.6265281652422e-10,15.0847594172282,"SLC14A1","ns"
0.145797780230721,6.2538066474762,6.93943768038712,2.2505274027597e-11,1.63787933939975e-10,15.0776031431908,"ZNF606","ns"
-0.173074736055132,6.82918949791229,-6.93785818698295,2.27245173578246e-11,1.65324128795036e-10,15.0681174621402,"PRPF4","ns"
0.138421673693715,2.27408803910682,6.93575536083757,2.30196656359639e-11,1.67411241576594e-10,15.0554913528553,"SNORD115-41","ns"
-0.196278621526546,6.32528366389441,-6.93493126822808,2.31363591281744e-11,1.6819950387008e-10,15.0505439760916,"PVRL3","ns"
-0.177755385320737,4.83112705340789,-6.93469213438085,2.31703298388567e-11,1.68386028186653e-10,15.0491084351074,"SLC35E4","ns"
-0.941825576219218,6.61987448900296,-6.93256345123213,2.34748950265655e-11,1.70526524178613e-10,15.0363313681727,"SPP1","down"
-0.143784329661692,8.50492306252189,-6.93251615788368,2.3481706128871e-11,1.70526524178613e-10,15.0360475303868,"RAD23A","ns"
0.172520977424464,4.45288671769942,6.93228036493302,2.35156936175326e-11,1.70712135673658e-10,15.0346324065136,"ODZ4","ns"
-0.311278897825837,7.32744023967881,-6.93206584070686,2.35466574398093e-11,1.7087567172551e-10,15.0333449586984,"RNF144B","ns"
0.35478513045573,4.73755000919593,6.92989541672582,2.38621943389789e-11,1.7310346853212e-10,15.0203209989633,"GPR63","ns"
0.179098600497367,7.56594942894053,6.92857980026328,2.4055479726851e-11,1.74443138699478e-10,15.0124278990037,"OAT","ns"
0.169390445185951,5.01764333358533,6.92800439025949,2.41405000543791e-11,1.74997025089976e-10,15.0089760466336,"C3orf32","ns"
-0.23078607048316,5.25512793622873,-6.92653797186972,2.4358510951837e-11,1.76514232850987e-10,15.0001800364212,"CLEC4G","ns"
0.350276678290106,8.09869199334506,6.92631353966189,2.43920474775351e-11,1.76694037771815e-10,14.9988339464227,"ERV3","ns"
0.141507583797002,7.2992015665048,6.9259569081362,2.44454317645185e-11,1.77017438311962e-10,14.996695022818,"ANAPC4","ns"
0.296043924414712,6.99524215640336,6.92569322268769,2.44849768016692e-11,1.77240428928166e-10,14.995113602088,"ROBO1","ns"
-0.233379365562126,9.59845360664598,-6.9254712806282,2.4518310324084e-11,1.77418312720257e-10,14.9937825664108,"UGP2","ns"
0.160163507464302,8.53916273090848,6.92480149665462,2.46191761424889e-11,1.78084569139275e-10,14.9897659134725,"RPRD2","ns"
0.225322512200433,7.12472426444341,6.92431485798012,2.46927171551537e-11,1.78552764462865e-10,14.9868477504397,"SYT11","ns"
0.454926335809772,3.11444477264757,6.92322253346933,2.48585773346368e-11,1.79687946229741e-10,14.9802980980681,"SNORD115-32","up"
-0.152281769486865,5.64427631951551,-6.92243897683619,2.49782281757814e-11,1.80488417221647e-10,14.97560030636,"COMTD1","ns"
-0.143157626874356,9.27288056369374,-6.92055068060288,2.52689074622994e-11,1.82523698909205e-10,14.964280684048,"TIMM50","ns"
0.198896850049004,4.02168578828744,6.92015056021008,2.53309267726136e-11,1.82906449501788e-10,14.9618824047411,"AQP10","ns"
0.367274489774461,7.51882750710959,6.91974555853095,2.539385514809e-11,1.83295489012621e-10,14.9594549712472,"DPY19L2","ns"
