"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
0.447994531710113,7.64823666321472,7.72728105271049,3.05260271885345e-10,6.44020901813492e-08,13.2285882991622,"TNFRSF10B","up"
1.03788016356774,9.507397683592,7.6985052750044,3.39472027419311e-10,7.06946692919374e-08,13.125884684095,"TPPP3","up"
0.470900724272896,8.03122782162098,7.69516984084537,3.43678508954484e-10,7.06946692919374e-08,13.1139778317386,"TENT5A","up"
0.572553381414037,7.72708735125917,7.67620756921602,3.68605825076515e-10,7.48861414501128e-08,13.0462771136038,"MGST1","up"
0.559955692635858,11.0109761807941,7.61768178848961,4.5757132395081e-10,9.18267525235919e-08,12.837229492592,"PDLIM5","up"
-0.778281089912277,8.33927566809356,-7.60654395280982,4.76797853450365e-10,9.4532355137099e-08,12.7974309941195,"IRS1","down"
0.645336327897832,12.7707553063459,7.60183901273362,4.85161130449154e-10,9.50453757460867e-08,12.7806175491595,"DNAAF6","up"
0.260324284103093,6.76175334490724,7.58099451795635,5.24018693482552e-10,1.01450019058222e-07,12.706118272879,"C8orf44","ns"
-0.684981015111035,9.77450795358817,-7.5628113879018,5.60455021723447e-10,1.07242416714896e-07,12.6411178923761,"SLC25A12","down"
-0.44605563831489,9.14505797240719,-7.55863905975716,5.69167837478764e-10,1.07657769351156e-07,12.6262011465292,"CISD1","down"
0.407768721549476,6.82578521317092,7.54459151749384,5.99513011317228e-10,1.12108933116322e-07,12.575974454769,"MPZL2","up"
0.418132966210203,10.4753207895385,7.53931085090266,6.11335067846004e-10,1.13035167151392e-07,12.5570917875239,"RBPJ","up"
-0.437530600364108,8.21782871076996,-7.53518774872343,6.2072786567977e-10,1.13496641751403e-07,12.5423476949578,"FAM136A","down"
-0.82473161093225,10.4870766586336,-7.50026395448383,7.06317885169935e-10,1.2772711119073e-07,12.417438747806,"C4orf54","down"
0.759500022032207,7.99154008665945,7.49154758515267,7.29464344273711e-10,1.28868363741497e-07,12.3862575752241,"FLRT3","up"
0.337413346347059,6.60131286056777,7.49098854373264,7.30974568829625e-10,1.28868363741497e-07,12.384257629187,"GREB1L","ns"
-0.378349897195445,12.5008052510826,-7.48909171499777,7.36122155548171e-10,1.28868363741497e-07,12.3774717362738,"MPC1","down"
0.628063878237256,7.57235930190126,7.4709002298827,7.87372692364788e-10,1.36389526584789e-07,12.3123862658474,"CCN5","up"
-0.886684634028361,7.46099480682294,-7.44402261613886,8.69711752795924e-10,1.47327842320788e-07,12.2162058008509,"SOCS2","down"
0.318581347629121,7.70422340169482,7.44337923002031,8.71785075975649e-10,1.47327842320788e-07,12.2139032182674,"CENATAC","ns"
-0.686907685185785,12.4425514727608,-7.44165134220278,8.77377767831626e-10,1.47327842320788e-07,12.2077193096776,"FABP3","down"
-0.568734134688986,10.571210440676,-7.43866289335147,8.87135532814233e-10,1.47461639676677e-07,12.1970238058483,"CIAO2A","down"
-0.319856055826946,8.14768914388745,-7.40599752741544,1.00115147070998e-09,1.63218619744307e-07,12.080100545992,"CMC1","ns"
-0.426171452070694,8.46127813598507,-7.40561804414773,1.00255886375604e-09,1.63218619744307e-07,12.0787420506448,"ECHDC1","down"
-0.580881215556014,9.16199162010817,-7.40317001200217,1.01168565957215e-09,1.63218619744307e-07,12.0699783614487,"PRKAG1","down"
-0.292813369302314,7.20811786809314,-7.36793423639651,1.15265999544425e-09,1.82731048790222e-07,11.9438219223552,"TMEM117","ns"
0.4362231673524,8.02567645726898,7.36742419549451,1.15483890825128e-09,1.82731048790222e-07,11.9419955824323,"CBR4","up"
0.458710022606889,7.6938707464006,7.35932170003168,1.19001164115522e-09,1.83683189185071e-07,11.9129816106604,"NUSAP1","up"
-0.540985094996461,11.120769068984,-7.35903336043204,1.19128289700508e-09,1.83683189185071e-07,11.9119490773919,"ARHGEF6","down"
-0.460569188643641,10.1633355603292,-7.35834064420357,1.1943425645845e-09,1.83683189185071e-07,11.909468479088,"CHCHD4","down"
-0.414090358724824,9.66148070636695,-7.34811832755589,1.24041962485218e-09,1.88506182569832e-07,11.8728614146289,"C6orf136","down"
-0.871939595725928,8.73003584899201,-7.34426753810435,1.25823508502176e-09,1.88506182569832e-07,11.8590707959345,"MTFP1","down"
