from,to,etype,weight,validated
hsa-let-7g-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7g-5p,CCND1,miRNA->hub,3,TRUE
hsa-let-7i-5p,CCND1,miRNA->hub,23,TRUE
hsa-let-7i-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-15b-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-15b-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-23b-3p,CCND1,miRNA->hub,11,TRUE
hsa-miR-23b-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-27b-3p,CCND1,miRNA->hub,5,TRUE
hsa-miR-27b-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-27b-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-30b-5p,CCND1,miRNA->hub,11,FALSE
hsa-miR-122-5p,CCND1,miRNA->hub,3,FALSE
hsa-miR-128-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-135a-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-138-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-142-5p,CCND1,miRNA->hub,44,TRUE
hsa-miR-143-3p,CCND1,miRNA->hub,20,FALSE
hsa-miR-153-3p,CCND1,miRNA->hub,46,FALSE
hsa-miR-134-5p,CCND1,miRNA->hub,37,FALSE
hsa-miR-134-5p,CCND1,miRNA->hub,11,FALSE
hsa-miR-150-5p,CCND1,miRNA->hub,9,FALSE
hsa-miR-154-5p,CCND1,miRNA->hub,36,FALSE
hsa-miR-186-5p,CCND1,miRNA->hub,12,TRUE
hsa-miR-193a-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-193a-3p,CCND1,miRNA->hub,32,TRUE
hsa-miR-195-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-195-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-200c-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-155-5p,CCND1,miRNA->hub,19,TRUE
hsa-miR-106b-5p,CCND1,miRNA->hub,56,TRUE
hsa-miR-106b-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302a-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302a-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-34c-5p,CCND1,miRNA->hub,9,TRUE
hsa-miR-361-5p,CCND1,miRNA->hub,5,TRUE
hsa-miR-363-3p,CCND1,miRNA->hub,15,TRUE
hsa-miR-365a-3p,CCND1,miRNA->hub,20,TRUE
hsa-miR-302b-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302b-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-302c-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302c-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-302d-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-302d-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-367-3p,CCND1,miRNA->hub,15,FALSE
hsa-miR-369-3p,CCND1,miRNA->hub,66,TRUE
hsa-miR-369-3p,CCND1,miRNA->hub,25,TRUE
hsa-miR-369-3p,CCND1,miRNA->hub,19,TRUE
hsa-miR-369-3p,CCND1,miRNA->hub,16,TRUE
hsa-miR-371a-3p,CCND1,miRNA->hub,6,FALSE
hsa-miR-372-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-372-3p,CCND1,miRNA->hub,9,FALSE
hsa-miR-373-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-373-3p,CCND1,miRNA->hub,9,FALSE
hsa-miR-374a-5p,CCND1,miRNA->hub,66,TRUE
hsa-miR-374a-5p,CCND1,miRNA->hub,24,TRUE
hsa-miR-379-5p,CCND1,miRNA->hub,4,FALSE
hsa-miR-381-3p,CCND1,miRNA->hub,39,FALSE
hsa-miR-381-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-383-5p,CCND1,miRNA->hub,4,TRUE
hsa-miR-330-3p,CCND1,miRNA->hub,5,FALSE
hsa-miR-328-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-323a-3p,CCND1,miRNA->hub,17,FALSE
hsa-miR-323a-3p,CCND1,miRNA->hub,11,FALSE
hsa-miR-326,CCND1,miRNA->hub,4,TRUE
hsa-miR-135b-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-324-3p,CCND1,miRNA->hub,11,TRUE
hsa-miR-324-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-338-3p,CCND1,miRNA->hub,14,TRUE
hsa-miR-338-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-335-5p,CCND1,miRNA->hub,11,TRUE
hsa-miR-325,CCND1,miRNA->hub,4,FALSE
hsa-miR-346,CCND1,miRNA->hub,3,FALSE
hsa-miR-424-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-424-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-18b-5p,CCND1,miRNA->hub,21,TRUE
hsa-miR-20b-5p,CCND1,miRNA->hub,35,TRUE
hsa-miR-20b-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-448,CCND1,miRNA->hub,46,TRUE
hsa-miR-429,CCND1,miRNA->hub,4,FALSE
hsa-miR-449a,CCND1,miRNA->hub,8,TRUE
hsa-miR-329-3p,CCND1,miRNA->hub,15,FALSE
hsa-miR-451a,CCND1,miRNA->hub,4,TRUE
hsa-miR-409-5p,CCND1,miRNA->hub,36,FALSE
hsa-miR-409-5p,CCND1,miRNA->hub,5,FALSE
hsa-miR-409-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-410-3p,CCND1,miRNA->hub,13,FALSE
hsa-miR-485-3p,CCND1,miRNA->hub,21,FALSE
hsa-miR-487a-3p,CCND1,miRNA->hub,21,FALSE
hsa-miR-489-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-490-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-490-3p,CCND1,miRNA->hub,10,TRUE
hsa-miR-494-3p,CCND1,miRNA->hub,22,TRUE
hsa-miR-494-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-494-3p,CCND1,miRNA->hub,20,TRUE
hsa-miR-494-3p,CCND1,miRNA->hub,11,TRUE
hsa-miR-495-3p,CCND1,miRNA->hub,35,TRUE
hsa-miR-495-3p,CCND1,miRNA->hub,46,TRUE
hsa-miR-495-3p,CCND1,miRNA->hub,4,TRUE
hsa-miR-496,CCND1,miRNA->hub,10,FALSE
hsa-miR-193b-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-193b-3p,CCND1,miRNA->hub,32,TRUE
hsa-miR-497-5p,CCND1,miRNA->hub,7,TRUE
hsa-miR-497-5p,CCND1,miRNA->hub,51,TRUE
hsa-miR-520e,CCND1,miRNA->hub,3,FALSE
hsa-miR-520e,CCND1,miRNA->hub,9,FALSE
hsa-miR-519c-3p,CCND1,miRNA->hub,6,FALSE
hsa-miR-520a-5p,CCND1,miRNA->hub,20,FALSE
hsa-miR-520a-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-520a-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-526b-3p,CCND1,miRNA->hub,56,TRUE
hsa-miR-526b-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-519b-3p,CCND1,miRNA->hub,6,FALSE
hsa-miR-525-5p,CCND1,miRNA->hub,20,FALSE
hsa-miR-520b,CCND1,miRNA->hub,3,TRUE
hsa-miR-520b,CCND1,miRNA->hub,9,TRUE
hsa-miR-520c-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-520c-3p,CCND1,miRNA->hub,9,FALSE
hsa-miR-524-5p,CCND1,miRNA->hub,11,FALSE
hsa-miR-519d-3p,CCND1,miRNA->hub,56,TRUE
hsa-miR-519d-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-520d-5p,CCND1,miRNA->hub,11,FALSE
hsa-miR-520d-3p,CCND1,miRNA->hub,3,TRUE
hsa-miR-520d-3p,CCND1,miRNA->hub,9,TRUE
hsa-miR-520g-3p,CCND1,miRNA->hub,35,FALSE
hsa-miR-516b-5p,CCND1,miRNA->hub,4,TRUE
hsa-miR-520h,CCND1,miRNA->hub,35,FALSE
hsa-miR-522-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-522-3p,CCND1,miRNA->hub,11,FALSE
hsa-miR-519a-3p,CCND1,miRNA->hub,6,FALSE
hsa-miR-499a-5p,CCND1,miRNA->hub,19,FALSE
hsa-miR-503-5p,CCND1,miRNA->hub,15,TRUE
hsa-miR-503-5p,CCND1,miRNA->hub,52,TRUE
hsa-miR-505-3p,CCND1,miRNA->hub,7,FALSE
hsa-miR-513a-5p,CCND1,miRNA->hub,5,TRUE
hsa-miR-513a-5p,CCND1,miRNA->hub,6,TRUE
hsa-miR-513a-5p,CCND1,miRNA->hub,4,TRUE
hsa-miR-532-5p,CCND1,miRNA->hub,21,FALSE
hsa-miR-532-5p,CCND1,miRNA->hub,13,FALSE
hsa-miR-455-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-493-3p,CCND1,miRNA->hub,5,TRUE
hsa-miR-545-3p,CCND1,miRNA->hub,49,TRUE
hsa-miR-545-3p,CCND1,miRNA->hub,12,TRUE
hsa-miR-487b-3p,CCND1,miRNA->hub,6,TRUE
hsa-miR-552-3p,CCND1,miRNA->hub,4,FALSE
hsa-miR-552-3p,CCND1,miRNA->hub,12,FALSE
hsa-miR-552-3p,CCND1,miRNA->hub,42,FALSE
hsa-miR-92b-3p,CCND1,miRNA->hub,15,TRUE
hsa-miR-556-5p,CCND1,miRNA->hub,40,TRUE
hsa-miR-576-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-599,CCND1,miRNA->hub,15,FALSE
hsa-miR-599,CCND1,miRNA->hub,5,FALSE
hsa-miR-599,CCND1,miRNA->hub,3,FALSE
hsa-miR-613,CCND1,miRNA->hub,3,FALSE
hsa-miR-33b-5p,CCND1,miRNA->hub,17,TRUE
hsa-miR-641,CCND1,miRNA->hub,19,FALSE
hsa-miR-449b-5p,CCND1,miRNA->hub,8,TRUE
hsa-miR-655-3p,CCND1,miRNA->hub,3,FALSE
hsa-miR-425-5p,CCND1,miRNA->hub,3,TRUE
hsa-miR-758-3p,CCND1,miRNA->hub,11,FALSE
