from,to,etype,weight,validated
hsa-miR-1224-5p,FBLN1,miRNA->hub,4,FALSE
hsa-miR-3612,FBLN1,miRNA->hub,3,FALSE
hsa-miR-4640-5p,FBLN1,miRNA->hub,3,FALSE
hsa-miR-4726-5p,FBLN1,miRNA->hub,3,FALSE
hsa-miR-2467-3p,FBLN1,miRNA->hub,3,FALSE
TWIST2,FBLN1,TF->hub,,
GLI3,CENPV,TF->hub,,
GLI3,PITPNM1,TF->hub,,
GLI3,CCND1,TF->hub,,
GLI3,FBLN1,TF->hub,,
GLI3,MAGED2,TF->hub,,
NKX25,PPM1K,TF->hub,,
NKX25,NUDT4,TF->hub,,
SMAD1,PITPNM1,TF->hub,,
SMAD1,CCND1,TF->hub,,
SMAD1,NAMPT,TF->hub,,
SMAD1,EIF4EBP1,TF->hub,,
SMAD1,MAGED2,TF->hub,,
SMAD1,NUDT4,TF->hub,,
BACH1,CCND1,TF->hub,,
BACH1,NAMPT,TF->hub,,
BACH1,MAGED2,TF->hub,,
CEBPB,CCND1,TF->hub,,
CEBPB,PITPNM1,TF->hub,,
CEBPB,NAMPT,TF->hub,,
CEBPB,EIF4EBP1,TF->hub,,
CEBPB,NUDT4,TF->hub,,
FOSL2,CCND1,TF->hub,,
FOSL2,PITPNM1,TF->hub,,
FOSL2,NAMPT,TF->hub,,
KDM2A,PITPNM1,TF->hub,,
CREB5,CCND1,TF->hub,,
CREB5,NAMPT,TF->hub,,
ZNF581,CCND1,TF->hub,,
ZNF581,MTFP1,TF->hub,,
ZNF581,EIF4EBP1,TF->hub,,
GATA4,CCND1,TF->hub,,
GATA4,EIF4EBP1,TF->hub,,
GATA4,PPM1K,TF->hub,,
GATA4,NUDT4,TF->hub,,
ZNF223,CCND1,TF->hub,,
ZNF223,ERAP2,TF->hub,,
ZNF223,PITPNM1,TF->hub,,
ZNF223,MAGED2,TF->hub,,
MKX,CCND1,TF->hub,,
MKX,FBLN1,TF->hub,,
DDIT3,CCND1,TF->hub,,
DDIT3,NAMPT,TF->hub,,
DDIT3,EIF4EBP1,TF->hub,,
AHR,CENPV,TF->hub,,
AHR,CCND1,TF->hub,,
AHR,NAMPT,TF->hub,,
