miRNA,gene,clipExpNum,panCancer,n_program,xref_validated
hsa-miR-15b-5p,CCND1,15,15,5,TRUE
hsa-miR-15b-5p,CCND1,52,15,6,TRUE
hsa-miR-23b-3p,CCND1,11,6,3,TRUE
hsa-miR-23b-3p,CCND1,10,6,4,TRUE
hsa-miR-27b-3p,CCND1,5,7,1,TRUE
hsa-miR-27b-3p,CCND1,6,7,1,TRUE
hsa-miR-27b-3p,CCND1,4,7,1,TRUE
hsa-miR-30b-5p,CCND1,11,10,1,FALSE
hsa-miR-122-5p,CCND1,3,2,1,FALSE
hsa-miR-128-3p,CCND1,6,11,1,TRUE
hsa-miR-135a-5p,CCND1,15,4,1,TRUE
hsa-miR-138-5p,CCND1,3,6,1,TRUE
hsa-miR-142-5p,CCND1,44,10,2,TRUE
hsa-miR-143-3p,CCND1,20,3,1,FALSE
hsa-miR-153-3p,CCND1,46,2,1,FALSE
hsa-miR-134-5p,CCND1,37,3,1,FALSE
hsa-miR-134-5p,CCND1,11,3,1,FALSE
hsa-miR-150-5p,CCND1,9,9,1,FALSE
hsa-miR-154-5p,CCND1,36,3,1,FALSE
hsa-miR-186-5p,CCND1,12,15,2,TRUE
hsa-miR-193a-3p,CCND1,10,7,3,TRUE
hsa-miR-193a-3p,CCND1,32,7,5,TRUE
hsa-miR-195-5p,CCND1,15,8,5,TRUE
hsa-miR-195-5p,CCND1,52,8,6,TRUE
hsa-miR-200c-3p,CCND1,4,3,1,TRUE
hsa-miR-155-5p,CCND1,19,6,1,TRUE
hsa-miR-106b-5p,CCND1,56,11,3,TRUE
hsa-miR-106b-5p,CCND1,3,11,5,TRUE
hsa-miR-302a-3p,CCND1,3,1,5,TRUE
hsa-miR-302a-3p,CCND1,9,1,2,TRUE
hsa-miR-34c-5p,CCND1,9,5,4,TRUE
hsa-miR-361-5p,CCND1,5,7,1,TRUE
hsa-miR-363-3p,CCND1,15,12,1,TRUE
hsa-miR-365a-3p,CCND1,20,12,1,TRUE
hsa-miR-302b-3p,CCND1,3,2,4,TRUE
hsa-miR-302b-3p,CCND1,9,2,2,TRUE
hsa-miR-302c-3p,CCND1,3,1,4,TRUE
hsa-miR-302c-3p,CCND1,9,1,2,TRUE
hsa-miR-302d-3p,CCND1,3,2,4,TRUE
hsa-miR-302d-3p,CCND1,9,2,2,TRUE
hsa-miR-367-3p,CCND1,15,0,1,FALSE
hsa-miR-369-3p,CCND1,66,6,3,TRUE
hsa-miR-369-3p,CCND1,25,6,3,TRUE
hsa-miR-369-3p,CCND1,19,6,2,TRUE
hsa-miR-369-3p,CCND1,16,6,2,TRUE
hsa-miR-371a-3p,CCND1,6,1,1,FALSE
hsa-miR-372-3p,CCND1,3,2,4,FALSE
hsa-miR-372-3p,CCND1,9,2,2,FALSE
hsa-miR-373-3p,CCND1,3,3,4,FALSE
hsa-miR-373-3p,CCND1,9,3,2,FALSE
hsa-miR-374a-5p,CCND1,66,8,3,TRUE
hsa-miR-374a-5p,CCND1,24,8,3,TRUE
hsa-miR-379-5p,CCND1,4,4,1,FALSE
hsa-miR-381-3p,CCND1,39,6,1,FALSE
hsa-miR-381-3p,CCND1,3,6,1,FALSE
hsa-miR-383-5p,CCND1,4,3,1,TRUE
hsa-miR-330-3p,CCND1,5,6,1,FALSE
hsa-miR-328-3p,CCND1,4,6,1,TRUE
hsa-miR-323a-3p,CCND1,17,3,1,FALSE
hsa-miR-323a-3p,CCND1,11,3,1,FALSE
hsa-miR-326,CCND1,4,4,2,TRUE
hsa-miR-135b-5p,CCND1,15,4,1,TRUE
hsa-miR-324-3p,CCND1,11,9,2,TRUE
hsa-miR-324-3p,CCND1,3,9,2,TRUE
hsa-miR-338-3p,CCND1,14,5,4,TRUE
hsa-miR-338-3p,CCND1,6,5,2,TRUE
hsa-miR-335-5p,CCND1,11,5,1,TRUE
hsa-miR-325,CCND1,4,1,2,FALSE
hsa-miR-346,CCND1,3,3,1,FALSE
hsa-miR-424-5p,CCND1,15,6,5,TRUE
hsa-miR-424-5p,CCND1,52,6,6,TRUE
hsa-miR-18b-5p,CCND1,21,7,1,TRUE
