"gene","module"
"FMO3","brown"
"RNF157","black"
"RGS2","tan"
"AOAH","tan"
"TAS2R43","grey"
"ANGPT2","red"
"TNNI1","brown"
"GZMK","tan"
"SNORD115-42","brown"
"XRRA1","brown"
"SNORA74A","pink"
"NCRNA00185","grey"
"C6orf138","grey"
"SNORD33","pink"
"CKS2","red"
"SNORD78","red"
"MIR27B","grey"
"DPYSL4","turquoise"
"COL1A1","greenyellow"
"FAM106C","grey"
"TFRC","grey"
"ADH1A","black"
"SNORD116-21","brown"
"GLIPR1","blue"
"ACTA2","grey60"
"SERPINB8","red"
"ASB18","purple"
"BHLHE40","lightcyan"
"SDSL","brown"
"CREB5","brown"
"MPEG1","blue"
"CDKN1A","red"
"ZDHHC2","blue"
"SNORD115-1","brown"
"FGF14","brown"
"MIR30E","turquoise"
"PCDH20","red"
"KLKB1","turquoise"
"CRHBP","yellow"
"HTR4","brown"
"RMRP","pink"
"HOPX","green"
"TRIL","yellow"
"SCUBE3","turquoise"
"KCNMB2","turquoise"
"FASN","black"
"KCNN3","yellow"
"MID1","greenyellow"
"CGNL1","brown"
"NPTX2","green"
"ITIH5","yellow"
"VGLL3","blue"
"SNORD116-18","grey"
"IGFBP2","purple"
"BDNF","purple"
"HBEGF","purple"
"STEAP4","blue"
"FOLR2","blue"
"SNORD115-32","brown"
"VTN","grey"
"DHCR24","blue"
"CHRNA5","grey"
"CFD","black"
"PPP1R1A","black"
"CHGB","grey"
"IGF1","black"
"COL12A1","greenyellow"
"SNRPG","red"
"MIR23B","grey"
"RARRES1","blue"
"COL6A6","black"
"SCARA5","black"
"GABRB1","brown"
"SNORD116-4","pink"
"SNORA10","pink"
"CMKLR1","blue"
"NPNT","blue"
"FCGR3A","blue"
"EVI2B","blue"
"IL2RA","blue"
"EDNRB","green"
"TMEM74","brown"
"HLA-DPA1","tan"
"LSAMP","grey"
"LCP1","blue"
"ART4","yellow"
"SOCS3","lightcyan"
"OR52N5","cyan"
"ABCA10","yellow"
"FAM46B","green"
"FABP4","black"
"C17orf87","blue"
"MSR1","blue"
"GNAO1","grey"
"SELE","lightcyan"
"PTGIS","yellow"
"BCL3","lightcyan"
"SNORA62","pink"
"CCDC113","brown"
"MPP3","green"
"CDHR3","grey"
"ENPP2","yellow"
"MAPT","turquoise"
"PODN","yellow"
"UIMC1","pink"
"SNORD114-26","pink"
"CTNND2","grey"
"SLC15A2","turquoise"
"C1QTNF9","brown"
"C15orf57","grey"
"ARG2","red"
"SNORA4","pink"
"RAB15","red"
"MIR15A","brown"
"ANKRD23","turquoise"
"CD38","salmon"
"SLA","blue"
"TAGLN","grey60"
"ALOX5","blue"
"KY","turquoise"
"PCDHB5","brown"
"C1orf118","purple"
"EFEMP1","greenyellow"
"GLT8D2","yellow"
"LDLR","lightcyan"
"FSD2","turquoise"
"ATP13A3","purple"
"FRMD4B","yellow"
"GNA14","yellow"
"SNORA24","pink"
"MUSK","turquoise"
"FAM106A","grey"
"KLHL38","turquoise"
"PIM1","cyan"
"JAK2","brown"
"SNORD115-6","brown"
"GPX8","greenyellow"
"IL6","lightcyan"
"FCGR1B","blue"
"FLJ43315","grey"
"C13orf40","brown"
"IGK@","tan"
"ITGBL1","yellow"
"C10orf10","yellow"
"MIR99A","brown"
"CES1","black"
"HPR","magenta"
"FIBIN","yellow"
"KCNA4","brown"
"FGFBP2","grey"
"SNORD114-3","pink"
"C1QTNF9B","grey"
"SLC19A3","black"
"IFIT2","midnightblue"
"MAFIP","grey"
"TNNT3","turquoise"
"FAM83B","green"
"SCARNA9","grey"
"FPR1","blue"
"TM7SF2","turquoise"
"GPR22","turquoise"
