"gene","module"
"COL6A2","pink"
"APLNR","magenta"
"C1orf54","turquoise"
"C1S","pink"
"GPD1","turquoise"
"LDAF1","yellow"
"IDO2","midnightblue"
"MARCHF3","turquoise"
"SF3A3","grey"
"CATSPER2","yellow"
"AHR","yellow"
"EFHD1","red"
"CIART","grey"
"NME2","turquoise"
"HLA-C","tan"
"SCIN","yellow"
"SMN1","black"
"IGFBP7","pink"
"POLR2E","grey"
"H2AC20","grey"
"RGS3","lightcyan"
"TRIM63","grey"
"TEF","grey"
"ZNF33A","yellow"
"IGFBP6","pink"
"GPT2","grey"
"ZNF415","turquoise"
"EXO5","yellow"
"C9orf85","yellow"
"FBXW8","grey"
"ASS1","grey"
"FMO3","greenyellow"
"S100A8","grey"
"CKMT2","turquoise"
"NFATC3","yellow"
"IFRD1","greenyellow"
"PPA2","black"
"SERTAD1","red"
"CHAF1B","grey"
"NINJ2","grey"
"FBN1","pink"
"ZNF786","yellow"
"HLA-DPB1","tan"
"LMOD1","grey"
"HCFC1R1","green"
"ZNF542P","yellow"
"DLEU1","turquoise"
"TCIM","magenta"
"IPO7","brown"
"PUDP","grey"
"ZNF623","yellow"
"NFAT5","yellow"
"IDO1","magenta"
"LRRN1","grey"
"HOXB2","turquoise"
"TRIM74","yellow"
"ICAM2","red"
"DCUN1D5","brown"
"PHKA1","turquoise"
"HTRA3","red"
"LDHA","turquoise"
"GIMAP7","magenta"
"CSF1R","tan"
"POMC","grey"
"OLAH","yellow"
"MOB3C","red"
"IDI2","grey"
"CSRP2","blue"
"ISG15","magenta"
"PRKAG1","turquoise"
"KCNB1","turquoise"
"C3","blue"
"RGCC","red"
"ETFDH","turquoise"
"BCAR3","grey"
"ANXA1","pink"
"ERAP2","yellow"
"PFKFB1","turquoise"
"PTPN20","turquoise"
"DEXI","lightcyan"
"WDR12","turquoise"
"RABEP1","turquoise"
"ACSS1","blue"
"CPVL","grey"
"APOLD1","grey"
"CMC2","turquoise"
"CREB1","yellow"
"PIK3IP1","grey"
"PFKL","grey"
"DDX5","greenyellow"
"LONRF1","brown"
"HES4","red"
"DDAH1","blue"
"IL18","yellow"
"TTF2","yellow"
"FBLN2","pink"
"FAM210B","green"
"CLIP1","cyan"
"HLA-DMA","tan"
"COL8A1","red"
"AMOT","turquoise"
"GPIHBP1","red"
"CILP","pink"
"TYRP1","grey"
"ZNF136","yellow"
"PCMTD1","brown"
"COX11","grey"
"ART5","blue"
"SMTNL2","green"
"PDGFRB","magenta"
"MSH3","yellow"
"BLZF1","yellow"
"ABLIM2","yellow"
"MIR22HG","greenyellow"
"ITIH4","grey"
"FAM217B","yellow"
"IRX3","salmon"
"LAMC1","yellow"
"SREBF1","greenyellow"
"GABPB2","yellow"
"TCP10L","yellow"
"ST8SIA5","turquoise"
"ACOT11","grey"
"CLDN5","red"
"ZNF454","yellow"
"RNASE1","pink"
"SPATC1L","yellow"
"PER1","grey"
"UNC45A","yellow"
"TUBA1B","red"
"CLIC5","brown"
"VSIG1","yellow"
"IL33","purple"
"MRPL41","turquoise"
"FLNC","black"
"PDGFRL","pink"
"ABCC12","grey"
"IGFBP3","grey"
"RAB3A","brown"
"LRRFIP1","yellow"
"OLIG3","turquoise"
"MYH6","turquoise"
"CCAR1","cyan"
"PPIF","turquoise"
"KRT31","turquoise"
"NUBPL","yellow"
"TMEM52","blue"
"PRKAA2","cyan"
"RASL10B","grey"
"GPR155","yellow"
"TPSAB1","tan"
"MRPS6","blue"
"NRAP","green"
"TNK2","blue"
"SLC24A3","brown"
"TNNI1","grey"
"HLA-DRB1","grey"
"CEBPB","blue"
"TMSB4XP6","grey"
"SHCBP1","yellow"
"COLGALT2","blue"
"IGFBP4","magenta"
"NDUFAF1","grey"
"MRPL24","grey"
"CTHRC1","grey"
"IGF2","yellow"
"PBX3-DT","yellow"
"SNX20","grey"
"TMSB4XP2","grey"
"GOLGA2","yellow"
"CD151","yellow"
"TXNL1","black"
"MAP6D1","lightcyan"
"ARG2","grey"
"DLAT","turquoise"
"BCO2","grey"
"SFRP1","blue"
"ABHD18","yellow"
"SNURF","salmon"
"ABR","red"
"LYPLA1","turquoise"
